title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Arambarri Food and Roll Santutxu,,747,"4,3",10-20€,,"Allende Particular Kalea, 48004 Bilbo, Bizkaia","{'miércoles': ['8:00–24:00'], 'jueves': ['8:00–24:00'], 'viernes': ['8:00–1:00'], 'sábado': ['10:00–1:00'], 'domingo': ['10:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['8:00–24:00']}",,"['Muy buena atención y servicio. Éramos bastantes personas e hicieron todo lo posible para ponernos en el mejor lugar. La comida riquísima y de calidad. Muy recomendable.…Más', 'Este lugar fue todo un descubrimiento. Llegamos un poco por casualidad y la verdad es que salimos encantados. Nos atendieron con gran amabilidad. La camarera…Más', 'Tengo que editar mi reseña de hace unos meses:…Más']","['Auténtico restaurante de comida americana con una carta que hace honor a la diversidad culinaria de Estados Unidos. Calidad y pasión por la buena cocina.', 'Tipos de cocina. Americana Española ; Comidas. Desayuno Comidas Cenas ; VENTAJAS. Reservas Servicio de mesa Capacidad.', 'SANTUTXU Allende particular kalea 48005 Bilbao Bizkaia ☎️ 648 81 86 45. URKIJO Urkijo Kalea 20 48008 Bilbo Bizkaia']"
Aldapa cafe bar,,98,"4,3",1-10€,,"Arsuaga Kalea, 3, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–2:30'], 'sábado': ['9:00–2:30'], 'domingo': ['9:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['Local en pleno bullicio de la zona de Santutxu. Las cañas bien tiradas y la elección de la música.…Más', 'Muy buena música. Estuve en nochevieja y muy contenta. Nos pusieron temazos y tiene unos camareros buenorros!', 'La única pega que le pongo es el poco sitio que tienen en el exterior, no por su culpa, si no por la falta de espacio en La Zona. Cerveza fría y pinchos ricos. Visita obligada']","['5 feb 2024 — Aldapa cafe bar n.º 48 entre los pubs y bares de Bilbao: 97 opiniones y 18 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'Aldapa Santutxu · Página · Bar · +34 691 42 37 93 · aldapasantutxu.com.', '7 ene 2024 — Aldapa n.º 124 entre los pubs y bares de Bilbao: 94 opiniones y 23 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.']"
RESTAURANTE YBERYKO SANTUTXU,,281,"4,2",10-20€,,"Santutxu Kalea, 20, 48004 Bilbo, Bizkaia","{'miércoles': ['12:00–17:00', '20:00–0:30'], 'jueves': ['12:00–17:00', '20:00–0:30'], 'viernes': ['12:00–17:00', '20:00–0:30'], 'sábado': ['12:00–17:00', '20:00–0:30'], 'domingo': ['12:00–17:00'], 'lunes': ['12:00–17:00'], 'martes': ['12:00–17:00', '20:00–0:30']}",,"['De entrada el restaurante promete, local moderno, agradable y con buena atención. Pero la comida falla un poco. Nos decantamos por el menú de fin de semana, con…Más', 'Trato excelente (los camareros muy atentos, simpáticos y amables), comida de gran calidad, muy bien presentada y cocinada, estaba todo delicioso. Muy buena experien…Más', 'Es la segunda vez que voy a cenar allí y me parece que está aún mejor de lo que me acuerdaba. Todo ha sido excelente, a partir del vino, los entrantes, el…Más']","['Restaurante Yberyko Santutxu Kalea 20 48004 Bilbo Bizkaia. nuestra carta. EL RESTAURANTE. Un restaurante que deja huella en todo aquel que viene a...', 'El restaurante Restaurante Yberyko Santutxu está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3; Servicio: 3.5; Calidad/...', 'Yberyko Santutxu Bilbao Spain. 263 likes · 8 talking about this · 91 were here. Bienvenido a una experiencia de sabores en un espacio gastronómico que...']"
Bar New Ha000ton,,237,"4,2",1-10€,,"Karmelo Kalea, 5, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–2:00'], 'sábado': ['11:00–2:00'], 'domingo': ['11:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['16/12/2023 12:40 que personaje de barra... soy cliente abitual de ultimo hace 2 años incluso mucho de mi paisanos ( nepali ) tomamos cafe siempre siempre la…Más', 'Me cobraron 20 centimazos por el hielo para el café con leche. Debió de ser porque el hielo era sin lactosa (según consta en el ticket 🤦). Dicen que son…Más', 'Me encanta es un lugar apropiado para disfrutar de pinchos y en la noche, buen bailoteo ambiente familiar…Más']","['Bar New Ha000ton Bilbao Spain. 494 likes · 231 were here. Cafetería Ha000ton Gin&Tonic Botanic Ron&Cola Terracita Chillout Music Pásate a vivir la...', 'Visita un lugar diferente en Santutxu Cócteles Combinados Mojitos Pintxos Variedad de musica UNA EXPERIENCIA INMEJORABLE Reservas DM .', 'El bar Bilbao se encuentra Karmelo Kalea 5 48004 Bilbao. New Ha000ton Bilbao en el mapa de Schlouk con toda la información: horarios de apertura...']"
La Bodeguilla,,252,"4,6",1-10€,Tiene terraza· No se aceptan reservas· Sillas altas disponibles,"Arsuaga, 1 frente al, número 1, 48004 Bilbao, Biscay","{'miércoles': ['11:00–15:00', '18:30–22:30'], 'jueves': ['11:00–15:00', '18:30–22:30'], 'viernes': ['11:00–15:00', '18:30–24:00'], 'sábado': ['11:30–15:30', '19:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['11:00–15:00', '18:30–22:30'], 'martes': ['11:00–15:00', '18:30–22:30']}",,"['Bodeguilla de toda la vida, pequeño rincón donde tomar vinos fuera de los tradicionales de poteo, vinos familiares, bodegas que se lo curran.…Más', 'Un lugar hermoso. La comida simple y quizás por eso mismo excelente. Los vinos todos increíbles.…Más', 'Buen lugar para comer cualquier pintxo típico de bodeguilla, bacalaou con sus ajitos, bonito con anchoa del cantábrico,buen txorizo, buen queso, y lo mejor, la posibilidad de acompañar…Más']","['El restaurante La Bodeguilla está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4; Calidad/precio: 4...', ""1 abr 2023 — La mítica bodeguilla de Bilbao cierra sus puertas tras 73 años y deja 'huérfanos' a muchos clientes."", '25 oct 2021 — Coautor de ""No me seas sinsorgo"" también ha escrito guías sobre los comercios más emblemáticos de la ciudad de Bilbao. El padre de Kepa. Ver...']"
Kaban,,90,"4,3",1-10€,,"Arambarri Músico Kalea, 3, 48004 Bilbo, Bizkaia","{'miércoles': ['18:00–2:00'], 'jueves': ['18:00–2:00'], 'viernes': ['18:00–4:00'], 'sábado': ['18:00–4:00'], 'domingo': ['12:30–2:00'], 'lunes': ['18:00–2:00'], 'martes': ['18:00–2:00']}",,"['Pequeño local de ambiente rock.Gente maja', 'Si te gusta la música rokera, este es tu bar.…Más', 'Muy bonito\nAyer lunes me ofrecieron con la consumición, un pincho de chuleta (3 trozos) con patatas fritas y alioli, por 1,50 euros…Más']","['30€ ¡Prendas suuuuuper bonitas y diferentes! ¡Últimas tallas y últimos precios! ¡Si ves algo que te guste haz una captura y escríbenos! Sombrerería 11...', 'Vestidos · VESTIDO GLORIA · VESTIDO CORTO TROPICAL · VESTIDO MICAELA · VESTIDO ANNIE ABSTRACTO · VESTIDO LUCÍA ABSTRACTO · VESTIDO MINI NIDO DE ABEJA · VESTIDO MEXICO.', '6997 Followers 748 Following 1557 Posts - See Instagram photos and videos from Kabán ☾ Lahun | Moda bohochic @kabanlahun_shop']"
All iron Santutxu,,75,"4,4",1-10€,Tiene terraza· Sirve buenos cócteles· No se aceptan reservas,"Elizondo Kalea, 1002, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:01–2:00'], 'sábado': ['9:00–2:00'], 'domingo': ['9:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['Un sitio perfecto en una zona de gente de todo tipo de edades.\nCerveza variada pinchos ricos y personal muy amable.…Más', 'Ayer día 24 de agosto 2023 fuimos a tomar algo después de los fuegos artificiales. No sé si sería que tenia mal día o que estaba “pasadito”, pero el camarero,…Más', 'Sólo fui a tomar algún pintxo y era un sitio agradable con una terraza exterior muy aceptable…Más']","['Cervecería All Iron en Santutxu Bilbao. ... CERVECERÍA. Acércate a All Iron Santutxu y disfruta de nuestra gran variedad de cervezas y pintxos.', 'Cervecería All Iron en Santutxu Bilbao. ... Elizondo Kalea 1002 Bilbao. Horario. Lun - Jueves: 9:00 - 00:00. Vie - Sábado: 9:00 - 2:00. Domingo: 9:00 - 00:00.', 'Nombre: All iron Santutxu · Ciudad: Bilbao · Especialidad: Pubs · Dirección: Elizondo Kalea 1002 48004 Bilbo Bizkaia · Teléfono: · Valoración: 4.5/5 - 61 votos.']"
Gaineko taberna,,138,"4,2",€,,"Caserío Landaburu Kalea, 5, 48004 Bilbo, Bizkaia","{'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00'], 'viernes': ['8:00–22:00'], 'sábado': ['8:00–22:00'], 'domingo': ['8:00–22:00'], 'lunes': ['Abierto 24 horas'], 'martes': ['8:00–22:00']}",,"['Sitio agradable para tomar un vinito y un pintxo. La tortilla muy muy rica. Y las gildas también. Y el resto de pintxos muy apetecibles.', 'Una tortilla increíble, de las mejores de Bilbao, no dejéis de probarlo! Además son súper majos y cercanos! Recomendado 100%', 'Excelente tortilla y muy ricos los pintxos.\nTrato familiar.']","['4 ene 2024 — Gaineko taberna n.º 365 entre los pubs y bares de Bilbao: 138 opiniones y 17 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'Ubicado en Caserío Landaburu Kalea 5 Gaineko taberna es un acogedor local que se destaca en la escena de Pubs en Bilbao. Con una combinación de Bar...', 'Muy ricos los pintxos en especial la tortilla. Muy buenas las gildas bonito con cebolla sandwiches varios. Sitio agradable para tomar un vino y un pintxo.']"
Hay Q` Joderse,,25,"4,1",,,"Plaza, Aita Esteban Pernet Kalea, #26, bajos, 48004 Bilbao, Biscay","{'miércoles': ['9:00–1:00'], 'jueves': ['9:00–1:00'], 'viernes': ['9:00–2:00'], 'sábado': ['9:00–2:00'], 'domingo': ['9:00–2:00'], 'lunes': ['9:00–1:00'], 'martes': ['9:00–1:00']}",,"['Carta de cocteleria,mojitos,piñas coladas,diana,buena musica ambiente y terraza!…Más', 'Se come super bien trato amable con sazón muy cubano todo de la tierra cristal bucanero nuestros tamalitos y música no se puede pedir mas el congris muy rico…Más', 'Día de Helloween!!']","['Y si nos tomamos un mojito??? #hayquejoderse #mojito #drinks #barcubano #bar #bilbao #bilbaocity #bilbaoturismo #bilbaonight #santutxu https://instagram.com/p/...', 'Programación y agenda de Hay Que Joderse uno de los puntos de interés y lugares recomendados para ver y visitar al viajar a Bilbao  Bizkaia.', '10 feb 2024 — Hay Q` Joderse n.º 1146 entre los pubs y bares de Bilbao: 25 opiniones y 19 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Bar restaurante Errondaberri,,602,"4,3",10-20€,,"Zabalbide Kalea, 49, 48006 Bilbo, Bizkaia","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['9:00–17:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–16:30', 'Actualizado por esta empresa hace 9 semanas']}",,"['Sitio tranquilo para cenar con una excepcional atención al cliente, los platos presentados con gusto . Es un placer siempre volver…Más', 'No nos sorprendio la calidad de la comida, al reves. Lo que nos complico y mucho fue la lentitud y los gestos y contestaciones de la camarera, toda la santa…Más', 'He ido con amigos un par de veces a tomar un caldo y algún pintxo.\nLa primera vez, probamos la ensaladilla ""rusa"". Nunca ha…Más']","['Desayunos pintxos de barra bocatas ensaladas sandwiches las mejores hamburguesas... También para llevar. Variedad de vinos y cervezas..', 'Ubicación y contacto. Zabalbide Kalea 49 48006 Bilbao España. A 0...', 'Una rica variedad de entrantes ensaladas bocatas sandwiches wraps y nuestra especialidad hamburguesas de entrecot. También para llevar.']"
Bar SantutXu15,,14,"4,9",,,"Santutxu Kalea, 17, 48004 Bilbo, Bizkaia",{},,"['Hemos estado mi familia y yo de vacaciones por El País Vasco y ya me gustaría poder poner más de 5 estrellas porque descubrir este lugar ha sido una…Más', 'Estupendo servicio y atención. Menú amplio y variado. Buena calidad aún habiendo tarde, cerca del cierre de cocina. Gracias y enhorabuena. Mis amigos que no conocían Santutxu…Más', 'Ya era un sitio estupendo, pero ahora que lo han reformado es aún mejor. La oferta de pintxos es asombrosa, además de los menús y de la comida para llevar. Muy…Más']","['Bar restaurante Santutxu 15 · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Calle Santutxu 15 Local 48004 Bilbao España.', 'Bar con estilo propio. Disfruta de la fusión de los mejores productos Euskaldunes con el toque especial de la gastronomía Andaluza.', 'Bar restaurante Santutxu 15 · Calificaciones y opiniones · Detalles · Ubicación e información de contacto. Calle Santutxu 15 Local 48004 ...']"
Bar El Rincon Del Chiste,,138,"4,4",€,,"Laurencin Marques Kalea, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['Me gusta el lugar y la atención la comida está muy rica y el café y la amabilidad es muy importante tambien…Más', 'Me ha encantado el bar. Cuando iba por cuestiones de trabajo en coche y pasaba por ahí deseaba que se detuviera el semáforo para poder leer los chistes, siempre…Más', 'Kaixo\nEsta bien,un sitio agradable, estuve en un horario poco comercial,me gusto.']","['Bar el Rincón del Chiste · Página · Lounge · +34 619 45 50 83 · Calificación · 45 173 opiniones.', 'Bar el Rincón del Chiste Bilbao Spain. 42645 likes · 1728 talking about this · 2496 were here. bar de amigos se celebran campeonatos de mus RAPIDO...', 'Encontrarás el mejor ambiente y aprenderás con la mejor compañía a jugar al mus. Excelentes almuerzos. D. Mariano con sus chistes nos hace día a día mucho más...']"
Urban,,50,"4,2",€,,"Haro Pl, 6, 48006 Bilbao, Biscay",{},,"[""Las mejores pizzas de Santutxu y al mejor precio,nada que ver con el Domino's o el telepiza,puedes pasar a encargar para llevar…Más"", 'Sin ninguna duda, uno de los mejores locales, que podéis visitar en santutxu, ideal para ir en grupo, muy buen ambiente, hacen unas pizzas esquisitas, están…Más', 'Fui de improviso buscando un sitio para cenar y me sorprendió. Muy buenas pizzas y trato muy agradable. Para volver a visitar.']","['Urban Bilbao Bilbao Spain. 24503 likes · 13 talking about this · 32 were here. Moda y complementos diferente con un toque muy Urbano y continúas...', 'c/ La Cruz 7 Casco Viejo Bilbao Spain 48005. 376 posts; 738 followers; 178 following. Photo by Urban Bilbao on February 29 2024.', 'No conoces Bilbao Urban Sagardotegi? Te traemos Astigarraga al entro de Bilbao prueba el TXOTX de nuestras kupelas y conoce la tradición.']"
Bar Izar La Quinta Estrella,,717,"4,5",10-20€,,"Campa Basarrate Landa, 3, 48004 Bilbo, Bizkaia","{'miércoles': ['6:30–23:00'], 'jueves': ['6:30–23:00'], 'viernes': ['6:30–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['6:30–22:00'], 'martes': ['6:30–23:00']}",,"['Riquisimas hamburguesas y patatas fritas caseras,nada de congeladas....para recomendar y repetir...y el camarero super agradable…Más', 'Una pequeña sorpresa nos llevamos al ir aqui a cenar, en pleno corazón de Santutxu, estuvimos un grupo de gente, 8 personas, cenando hamburguesas y algún…Más', 'De las hamburguesas mas ricas que hemos probado. Ingredientes de buena calidad y la salsa Izar estaba buenísima. Las patatas 3 salsas estaban de 10. Y encima…Más']","['Bar Izar La Quinta Estrella · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Campa Basarrate N 3 48004 Bilbao España.', 'Bar Izar La Quinta Estrella · Página · Hamburguesería · +34 672 18 71 94 · Calificación · 48 47 opiniones.', '21 may 2020 — Horario?? 4 yrs. Bar...']"
Dayton Taberna,,53,"4,6",1-10€,Se sirve comida en el bar,"Arsuaga Kalea, 48004 Bilbo, Bizkaia","{'miércoles': ['11:00–24:00'], 'jueves': ['11:00–24:00'], 'viernes': ['11:00–2:30'], 'sábado': ['11:00–2:30'], 'domingo': ['11:00–24:00'], 'lunes': ['11:00–24:00'], 'martes': ['11:00–24:00']}",,"['Es un lugar donde hay un buen ambiente, ponen música variada y está muy bien para ir a tomar unas copas con amigos.…Más', 'Genial! El típico sitio donde estás tan a gusto que acabas bailando y cantando... Pues ese! Recomendado 100%…Más', 'Bar muy agradable, buena música y el personal atento…Más']","['Dayton Taberna ... Aunque desde la reforma ha perdido la solera y el carácter de bar rockero de toda la vida tb es cierto que ha ganado en limpieza y luz.', 'Dayton Taberna - La Zona Bilbao. 751 Me gusta · 19 personas han estado aquí. Cafetería.', 'Aunque desde la reforma ha perdido la solera y el carácter de bar rockero de toda la vida tb es cierto que ha ganado en limpieza y luz.']"
