title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Restaurante Ambigu,Platos creativos con raíces vascas en un animado espacio con copas eventos musicales y exposiciones de arte.,835,"4,4",10-20€,,"Done Bikendi Kalea, 5, Abando, 48001 Bilbo, Bizkaia","{'miércoles': ['9:00–17:00'], 'jueves': ['9:00–17:00'], 'viernes': ['9:00–2:30'], 'sábado': ['20:00–2:30'], 'domingo': ['Cerrado'], 'lunes': ['9:00–17:00'], 'martes': ['9:00–17:00']}",,"['La comida perfecta, en vajilla moderna.\nEl servicio para la hora que era muy bien, quizás las mesas pequeñas para comer…Más', 'La comida estaba deliciosa y el personal que nos atendió fue muy amable, nos sentimos muy cómodos. ……Más', 'un restaurante que te hace sentir bien. el servicio es súper cercano y la calidad de su comida es muy alta. el menú del día es una hermosa experiencia. el local ……Más']","['Menú rico 17 euros pero comida de calidad. Buen trato y muy buena música. Para pasar un buen rato y comer rico. Decorado con gusto alternativo.', 'Ambigú  oficial  · Página · Restaurante · +34 944 24 23 43 · ambigubilbao.bigcartel.com.', 'Arte y entretenimiento. Contacto. San Vicente 5 Bilbao. 944242343.']"
Bar Plaza Euskadi,,125,"4,3",1-10€,,"Euskadi Pl., 3, Abando, 48009 Bilbao, Biscay","{'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00'], 'viernes': ['8:00–23:00'], 'sábado': ['11:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00']}",,"['Excelentes pinchos , a resaltar el café . Terraza muy agradable . Sitio de descanso entre museos y el Parque de Doña Casilda .…Más', 'Estupenda atención por parte de la camarera (Adri), hacía tiempo que no nos tomábamos un destornillador tan bueno. Simpatía y buen hacer, recomendable. Con buen tiempo se está de …Más', 'Hace un tiempo este bar tenia todo muy bueno, hoy después de dos años volví y la calidad bajo un montón. Pedí un pintxo de tortilla de jamón y queso, y me…Más']","['Disfruta de la mejor selección de pintxos en Bilbao junto a una cremosa cerveza bien tirada en uno de los lugares de encuentro de referencia en la capital.', '56 opinionesN.º 24 de 69 bares y pubs en Bilbao€BarCaféEspañola. Plaza Euskadi 3 48001 Bilbao España +34 944 36 01 71 Página web Añadir horariosMejora este...', 'El entorno de la Plaza de Euskadi es un entorno de eidficios modernos de diseño y locales de hostelería vanguardistas pero el tráfico que hay cuando estás en...']"
Perita - el bar de las gambas,,378,"4,4",10-20€,,"Diputazio Kalea, 1, Abando, 48009 Bilbo, Bizkaia","{'miércoles': ['12:00–23:00'], 'jueves': ['12:00–24:00'], 'viernes': ['12:00–1:00'], 'sábado': ['12:00–1:00'], 'domingo': ['12:00–23:00'], 'lunes': ['12:00–23:00'], 'martes': ['12:00–23:00']}",,"['Fuimos sin reserva y tuvimos la suerte de poder sentarnos en la terraza. La camarera nos atendió muy amable y nos aconsejó qué pedir y luego el orden para poder…Más', 'Fabuloso bar con especialidad en gambas. Un descubrimiento en navidad.…Más', 'El marisco excelente . la ubicación en terraza un poco incomoda, generalmente además es difícil conseguir sitio si improvisas visita a la zona . Destacaría…Más']","[""N.º 1 de 70 Bares y pubs en Bilbao. Travellers' Choice2023. PUNTUACIONES. Comida ... Es el mejor sitio de todo bilbao en gambas y mariscos. Lo recomiendo..."", 'Social · Dirección Diputación 1 48009 Bilbao · Teléfono 944 257 816 · E-mail info@peritabar.es · Persona Inaz Fernández.', 'El bar más “perita” de Bilbao. Especializado en gambas. Aire de poniente olor a sur y musiquita de la buena. #elbardelasgambas #gambasybuenrollito.']"
CAPRICHO,Bar pequeño con una variada carta de vinos de la tierra y tapas tradicionales.,713,"4,3",10-20€,,,"{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['La mejor tortilla de todo Bilbao sin ninguna duda.\nTe ponen un pintxo enorme, al punto perfecto de jugosidad. Con 2 trozos de pan y…Más', 'un lugar para comer hermosa y a muy buen precio. una carta de vino muy amplia. Buen trato. Estaremos a salvo. Usted pide lo que usted pide es un éxito seguro. como algo menos posit…Más', 'Fuimos un día que queríamos picar algo en plan informal y quedamos ahí para tomar un vino, es pequeñito y tiene pocas mesas, pero vimos las tapas y raciones que…Más']","['Cocina tradicional elaborada y de calidad en Bilbao · Llevamos desde 1996 trabajando para deleitar vuestros paladares. Os damos las gracias por habernos hecho...', 'Restaurante sito en la calle Henao número 20 de bilbao.', 'El restaurante Capricho de Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4.5...']"
Café Iruña,Platos de la cocina regional y carnes a la parrilla en un restaurante de larga trayectoria con azulejos decorativos y murales.,12000,"4,2",1-10€,,,"{'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00']}",,"['Antiguo café de época muy bien conservado. Fuimos un grupo de amigos a probar los famosos pinchos morunos, que te los hacen en el instante. La verdad que están…Más', 'Visita obligada.\nEl espacio es fantàstico y el servicio perfecto, aunque siempre este lleno…Más', 'Café mítico del centro de Bilbao donde pasar un rato agradable y tomar una pequeña pausa si estás pasando unos días en Bilbao.…Más']","['Un punto de encuentro social en en el centro de Bilbao. Con una oferta amplia y variada. Desayunos pintxos variados menú diario y fin de semana carta...', 'Bar típico de Bilbao y con un entorno y decoración auténtico. Comimos muy bien un menú de fin de semana por 35€ con variedad de platos a elegir y todo muy...', 'El Café Iruña inaugurado en 1903 está abierto todos los días del año con servicio de desayunos menú del día a 1990€. los laborables y 3550€. los...']"
Patio Bilbao,,303,"4,1",10-20€,,"Kalea Manuel Allende, 21, Abando, 48010 Bilbo, Bizkaia","{'miércoles': ['11:00–23:00'], 'jueves': ['11:00–23:00'], 'viernes': ['11:00–12:00'], 'sábado': ['0:00–12:00'], 'domingo': ['0:00–17:00'], 'lunes': ['11:00–23:00'], 'martes': ['11:00–23:00']}",,"['Me ha encantado el establecimiento , muy buen personal , muy amables con comida deliciosa. Viva imagen de calidad precio . Volveremos ❤️…Más', 'Hemos ido un sábado a comer el menú de 14,90€, en principio puede parecer que vas a salir con hambre ya que las raciones no son muy grandes, pero en absoluto.…Más', 'Restaurante que cuenta con dos comedores muy armonizados, con espacio y sitio entre mesas. Además tiene una barra con pinchos para algo rápido. Tienen un buen…Más']","['El restaurante Patio Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 4; Calidad/precio: 4...', 'Buena barra de pintxos cuidada selección de vinos y cervezas en un local con encanto y en el que además disfrutarás de una carta original y sabrosa.', 'Buena barra de pintxos selección de vinos y cervezas tablas picoteo y una carta original y sabrosa además de menú del día y plato express...']"
Bar Txistua,,75,"4,1",,,"García Rivero Maisuaren Kalea, 4, Abando, 48011 Bilbo, Bizkaia","{'miércoles': ['10:30–15:00', '19:00–23:00'], 'jueves': ['10:30–15:00', '19:00–23:00'], 'viernes': ['10:30–15:00', '19:00–23:00'], 'sábado': ['10:30–15:00', '19:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['10:30–15:00', '19:00–23:00'], 'martes': ['10:30–15:00', '19:00–23:00']}",,"['El típico bar de pintxos de bilbao. Pequeñito si, pero vinos y pintxos extraordinarios', 'Buenos pintxos y buen vino y combinados, en una zona céntrica y de mucho ambiente. El precio muy razonable. Los camareros muy muy agradables. Pasamos un rato estupendo', 'Sitio estupendo con productos de calidad y barato. Buen vino, buenos pinchos y atención estupenda. Lugar muy familiar. Taco de Bonito de los mejores que he probado.']","['Bar Txistua Bilbao: Consulta 10 opiniones sobre Bar Txistua con puntuación 5 de 5 y clasificado en Tripadvisor N.°568 de 1.234 restaurantes en Bilbao.', 'Consigue las mejores ofertas para Bar Txistua en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'Fotografía de Bar Txistua Bilbao: Bar Txistua. Echa un vistazo a los 16 vídeos y fotos de Bar Txistua que han tomado los miembros de Tripadvisor.']"
La Viña del Ensanche,Menú degustación y pinchos vascos con especialidades como el jamón ibérico de bellota en un bar tradicional.,46000,"4,5",€€,,,"{'miércoles': ['10:00–22:30'], 'jueves': ['10:00–22:30'], 'viernes': ['10:00–22:30'], 'sábado': ['13:00–22:30'], 'domingo': ['Cerrado'], 'lunes': ['Cerrado'], 'martes': ['10:00–22:30']}",,"['Me gustaría elogiar una camarera, cuyo nombre es Daniela. Ella tiene atención esmerada y su sonrisa es inolvidable. Y luego para la cena: ¡Fue una experiencia…Más', 'Mi sitio favorito de Bilbao junto a Él Globo que además están uno al lado del otro. El jamón de este sitio (Joselito) está espectacular, y tienen un revuelto…Más', 'Excelente!! Riquísimo todo, las carrilleras ibéricas brutales, de las mejores que probé y súper bien de precio. Estuvimos 2 días en Bilbao, el primer día fuimos allí por recomendación y a…Más']","['Horario. Bar terraza y taller. Martes a viernes: de 10:00 a 22:30. Sábado: de 13:00 a 22:30. Tienda. Martes a viernes: de 10:00 a 14:00 y de 17:00 a 20:00.', 'El restaurante La Viña del Ensanche está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4...', 'Carta La Viña del Ensanche. Menú. Facebook · Twitter ... © 2024 Carta La Viña del Ensanche · Funciona con WordPress. Ir arriba ↑ Subir ↑']"
La Taberna de Los Mundos C/LUTXANA nº1 BILBO 94 416 81 81,Cafetería con desayunos bocadillos y tapas de platos internacionales en un comedor con ambientación viajera.,26000,"3,9",10-20€,,,"{'miércoles': ['9:00–23:30'], 'jueves': ['9:00–23:30'], 'viernes': ['9:00–0:30'], 'sábado': ['12:00–1:30'], 'domingo': ['12:00–23:00'], 'lunes': ['9:00–23:30'], 'martes': ['9:00–23:30']}",,"['Estaba todo muy rico ;-) Sobretodo los fritos.\nTienes la opción del menú del día o tirar de carta y elegir lo que quieras.…Más', 'Un buen sitio con carta variada y buena decoración.\nTiene una zona de comedor para grupos grandes y los camareros son muy majos.…Más', 'La Taberna de los Mundos es un lugar increíble para disfrutar de la gastronomía y el ambiente de diferentes países. El menú es variado y original, con platos…Más']","['*MENÚ ESPECIAL DE TEMPORADA : Bienvenid@s a LA TABERNA DE LOS MUNDOS! Estamos en C/Lutxana nº1 En Pleno Centro De BILBO 94 416 81 81 no disponible...', '246 opiniones#322 de 986 restaurantes en Bilbao€€ - €€€Opciones vegetarianas. Calle Lutxana 1 48008 Bilbao España +34 944 16 81 81 Página web Menú.', '*C/Lutxana nº1 BILBO 94 416 81 81 oficinataberna@delosmundos.com · #bilbao #comerenbilbao #raciones #menú #menúdeldía #bilbaocity #bocatas #bocata #bokata']"
Bar Gure,,262,"3,5",10-20€,,"Ercilla Kalea, 26, Abando, 48011 Bilbo, Bizkaia","{'miércoles': ['7:00–20:00'], 'jueves': ['7:00–20:00'], 'viernes': ['7:00–20:00'], 'sábado': ['7:00–20:00'], 'domingo': ['Cerrado'], 'lunes': ['7:00–20:00'], 'martes': ['7:00–20:00']}",,"['La unica diferencia entre un robo y venir aquí es que en el atraco no me dejan la boca con sabor a café malo. No volvería ni a puñetazos.…Más', 'Un bar y restaurante con una zona amplia que han dejado diáfana para que la gente tome sus pinchos y consumiciones en la barra. Hay no obstante algunas mesas y…Más', 'Comida muy rica y tienes un montón donde elegir en el menú.... aunque a lo mejor se queda un poco escaso en cantidad....el postre tenía mejor pinta las natillas o la tarta de queso…Más']","['Ubicación y contacto · ¿Se puede incluir esta ubicación en la categoría de bares y pubs? · ¿Es principalmente una cafetería? · ¿Este restaurante sirve comida...', 'En tres palabras: Servicio y trato personalizado. Contacto. Ercilla 26 Bilbao. 944150145.', 'Fatal caro y un trato muy antipático no sirven en terraza pero luego dependiendo quien si vienen a cobrarte a la terraza y el costo es como si te cobrarán...']"
Beher Bilbao | Tienda y Restaurante de Productos Ibéricos,,570,"4,2",€€,,"Portuko Markesaren Kalea, 11, Abando, 48008 Bilbo, Bizkaia","{'miércoles': ['11:00–22:30'], 'jueves': ['11:00–22:30'], 'viernes': ['11:00–23:30'], 'sábado': ['12:30–23:30'], 'domingo': ['12:30–16:30'], 'lunes': ['11:00–22:30'], 'martes': ['11:00–22:30', 'Actualizado por esta empresa hace 9 semanas']}",,"['Comida espectacular, con la especialidad en Ibéricos, a muy buen precio, en un ambiente inmejorable. Reseñable la buena cava de vinos!…Más', 'Mal mal servicio llevado por personas poco formadas, es una lástima que hoy en día se esté perdiendo la profesionalidad en la restauración, y hay gente dando…Más', 'La comida está muy rica hasta que te traen el CERDO 🐖 CRUDO. ¡CRUDO! ¡¡¡Señores, el cerdo, al igual que el resto de carne que no sea ternera, NO se puede comer…Más']","['Este menú degustación de productos ibéricos es ideal para aquellos que quieran probar una variedad de platos y disfrutar de una experiencia gastronómica...', 'BEHER BILBAO - Fotos Número de Teléfono y Restaurante Opiniones - Tripadvisor. Bilbao; Provincia de Vizcaya; País Vasco; España; Europa. Bilbao. Turismo en...', 'Nuestra tienda-restaurante de Bilbao ofrece los mejores productos ibéricos. destacado-portada. Un espacio dedicado a la alta gastronomía del ibérico.']"
Bilbobeer,Bar restaurante con terraza que sirve tapas y platos españoles cerveza y vino.,13000,"4,1",10-20€,,"Adiskidetasun Kalea, 4, Abando, 48001 Bilbo, Bizkaia","{'miércoles': ['7:30–24:00'], 'jueves': ['7:30–24:00'], 'viernes': ['8:00–1:30'], 'sábado': ['8:00–1:30'], 'domingo': ['7:30–24:00'], 'lunes': ['7:30–24:00'], 'martes': ['7:30–24:00']}",,"['Lleno de cucarachas. Es la segunda vez que voy y veo cucarachas por las paredes. No me imagino cómo estarán la cocina etc con el calor de las maquinas……Más', 'Muy bueno y económico. Vine buscando un menú cerca de la estación de tren y encontré este lugar, que ofrecía un menú por 14€.…Más', 'Bar típico, ideal para desayunar! Tienen varias tortillas y algunos pinchos a muy buen precio. Muy recomendable.…Más']","['Sobre todo sabemos de esto último de ahí el nombre Bilbobeer el centro de la cerveza en Bilbao. ... 944 74 10 95 contacto@bilbobeer.com Calle Amistad 4 48001...', 'El restaurante Bilbobeer está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 3.5; Calidad/precio: 4.5...', 'Bilbobeer Bilbao: Consulta 36 opiniones sobre Bilbobeer con puntuación 4 de 5 y clasificado en Tripadvisor N.°478 de 1.170 restaurantes en Bilbao.']"
Restaurantes Bilbao De Santa Rosalia,Banco corrido de piel en salón con cocina internacional basada en perdices y bueyes wagyu de finca propia.,910,"4,2",€€,,"Diputazio Kalea, 8, Abando, 48008 Bilbo, Bizkaia","{'miércoles': ['13:00–16:00', '20:00–23:00'], 'jueves': ['13:00–16:00', '20:00–23:00'], 'viernes': ['13:00–16:00', '20:00–23:00'], 'sábado': ['13:00–16:00', '20:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['13:00–16:00'], 'martes': ['13:00–16:00', '20:00–23:00']}",,"['Estuvimos unas amigas tomando algo y como se nos hizo tarde pensamos en quedarnos a cenar. Nos buscaron un hueco dentro rapidísimo. Cenamos arroz meloso con…Más', 'Hemos comido hoy en este lugar. Ya habíamos estado en otras ocasiones. La camarera que nos ha atendido muy eficiente, pero cuando ha llegado la ensalada que…Más', 'Una experiencia diferente. Platos ricos, buen servicio. La ensalada de perdiz y el asado de wagyu deliciosos. Y la espuma de cuajada exquisita.…Más']","['Restaurante De Bilbao · Brindamos a todos nuestros clientes calidad y buen comer · Pide tu comida a domicilio o Takeaway · Reserva tu mesa · ¿Celebras algún...', 'Sí el restaurante De Santa Rosalia ofrece comida para llevar. ¿Cómo está valorado el restaurante De Santa Rosalia?', 'Social · Dirección Diputación 8 48008 Bilbao · Teléfono 946 792 897 · E-mail restaurantebilbao@desantarosalia.com.']"
