title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Tobarisch,,298,"4,7",1-10€,Sirve buenos cócteles· No se aceptan reservas,"Heliodoro de la Torre Kalea, 10, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['18:00–2:30'], 'sábado': ['18:00–2:30'], 'domingo': ['18:30–24:00'], 'lunes': ['Cerrado'], 'martes': ['18:30–24:00'], 'miércoles': ['18:30–24:00'], 'jueves': ['18:30–1:00']}",944 45 46 43,"['El mejor sitio para pasar un buen rato tomando un trago largo o corto... Maravilloso Pub, maravillosa gente, maravillosos tragos... MARAVILLOSO!!!!!…Más', 'Si te apetece un buen cubata y unos bailables, de las pocas opciones que quedan en Deusto', 'Un sitio estupendo amabilidad,buena música copas buenísimas 👌 mi favorito mojitos.…Más']","['La historia de este emblemático pub se remonta hasta el año 1976 siendo ya un lugar clásico en Deusto y Bilbao y continuando su andadura con gran maestría.', 'Típico bar de barrio con buena música un ambiente extraordinario y buenas copas. Ideal para pasar una tarde después de una comida con amigos.', 'Pub de barrio con bastante ambiente siempre es una buena opción si no quieres ir hasta otras zonas de Bilbao. Siempre que he ido me han atendido bien...']"
Hamburgueseria El Viejo Roble,,303,"4,6",10-20€,Tiene terraza· Ideal para ver deportes,"Done Petri Plaza, 2, Deusto, 48014 Bilbo, Bizkaia",{},,"['Los bocadillos muy buenos, de beicon y queso y de beicon, queso y setas; las tortitas y el pacharán que las ha acompañado también. El dueño muy amable. Un local honrado con lo qu…Más', 'Llevábamos tiempo queriendo venir por las reseñas positivas que tenía y la verdad que no ha defraudado. Hemos probado la hamburguesa Deusto y la Smash. Ambas…Más', 'Hacía años que no entraba. Solo tome un bocata y unas patatas, pero la comida fue muy casera, bien hecha, rápida. El personal muy amable, de esa gente normal que aún mira a los …Más']","['Hamburguesería El Viejo Roble: es un clásico del barrio de Deusto en Bilbao. Está en la Plaza San Pedro. Hamburguesas bocadillos variados sandwiches...', 'Un servicio excelente para este bar. Toda la comida está deliciosa y el camarero es muy agradable. En conclusión: Buen servicio buena comida y lugar agradable!', 'El viejo Roble es un clásico de Deusto. Está en la Plaza San Pedro. Hamburguesas bocadillos variados sandwiches platos combinados ensaladas y raciones...']"
Restaurante Bordatxo Jatetxea,,851,"4,4",10-20€,Tiene terraza· Tiene Wi-Fi· Hay menú infantil,"Ramón y Cajal Etorb., 24, Deusto, 48014 Bilbo, Bizkaia",{},944 47 45 00,"['Fuimos un viernes de enero de 2024, el menú eran 18€ con postre incluido pero sin bebida.…Más', 'Buen restaurante tradicional vasco para comer de menú o saborear unos pintxos. Buena decoración y buen ambiente. Productos de primera calidad y trato amable.…Más', 'La verdad toda la comida muy buena de sabor,me sorprendió que para parecer una tasca tiene comida muy moderna, a pesar de no ser de mi gusto no se han pasado y ……Más']","['Hemos crecido sujetos a las raíces basándonos en la cocina vasca y actualizándola. Nuestro recorrido ha estado ligado al entorno más cercano y el nuestro es un...', 'BORDATXO Bilbao - Fotos Número de Teléfono y Restaurante Opiniones - Tripadvisor. Bilbao; Provincia de Vizcaya; País Vasco; España; Europa. Bilbao. Turismo en...', 'Restaurante Bordatxo Bilbao. 293 Me gusta · 81 personas han estado aquí. Bordatxo jatetxea Deustu / Restaurante Bordatxo Deusto Sustraiei helduta...']"
La Tapería Guramets,,112,"4,4",,,"Blas de Otero Kalea, 30, Deusto, 48014 Bilbo, Bizkaia",{},,"['Uno de esos bares a los que seguramente no entrarías por la vista, y que te sorprende. Excelentes tapas y gran variedad. Trato excelente si le das confianza. Sin duda alguna lo mejo…Más', 'Un sitio único atendido por un anfitrión único. Tiene una barra de pintxos tan grande e interesante como su clientela. Cerveza tostada y vermut variado. Si buscas un lugar donde oír m…Más', 'Esta fruteria me gusta mucho tienen de todo.a buen precio.calidad.me llaman poderosamente los caracoles que ponen a la venta de cara a la navidad.']","['16 ene 2024 — La Tapería Guramets n.º 643 entre los pubs y bares de Bilbao: 128 opiniones y 21 fotos detalladas. Localízalo en el mapa y llama para...', 'La Tapería Guramets en Bilbao. Blas de Otero Kalea 30  Biscay Bilbao. 88. Basado en 112 opiniones encontradas en 1 webs...', 'La Tapería Guramets arrios San Pedro de Deusto-La Ribera Deusto: fotos ubicación y datos de contacto horario y ✉ opiniones de visitantes en...']"
Jardín Secreto Bilbao,,445,"4,0",10-20€,Tiene terraza· Hay chimenea· Sirve buenos cócteles,"Deustuibarra, 70A, Deusto, 48014 Bilbo, Bizkaia",{},,"['Lugar tranquilo, muy acogedor, con una decoración muy vintage, donde se puede disfrutar de música en directo. Dispone de una amplia terraza. Perfecto para tomar…Más', 'Lugar bonito y cómodo para pasar un buen rato. Estuvimos celebrando un cumpleaños entre amigos y la verdad que la experiencia 10/10. Las raciones eran grandes y a buen preci…Más', 'Muy buen lugar y ambiente. Siempre vuelvo a por las croquetas, muy recomendadas. El servicio es correcto, esta vez tuvimos que esperar algo más debido a que no…Más']","['Jardín Secreto Bilbao es la cafetería de nuestro centro cultural un oasis verde en la ciudad donde tomar algo y comer o cenar. Tenemos un amplio menú con...', 'Bar de @espacio_open Vier. a Dom. cocina ininterrumpida 11 a 23h. Pizzas burgers cócteles batidos... Fábrica Artiach Zorrotzaurre ⬇ Reservas.', '¿Qué esconde el jardín secreto? Un montón de platos diferentes para todos los gustos ¡ven a probarlos! Abrimos de viernes a domingo de 11h a 00/01h']"
Portuberri Bar - Restaurante - Marisquería,,81,"4,5",,Tiene terraza,"Zarandoa Etorb., 9B, Local 7, Deusto, 48015 Bilbao, Biscay","{'viernes': ['10:30–23:00'], 'sábado': ['11:00–23:00'], 'domingo': ['11:00–18:00'], 'lunes': ['Cerrado'], 'martes': ['10:30–22:00'], 'miércoles': ['10:30–22:00'], 'jueves': ['10:30–22:00']}",944 01 08 38,"['Fuimos hace unos días a comer y todo un acierto, aunque los precios de los platos son algo caros merece la pena y mucho. Pedimos almejas y lubina y estaban…Más', 'Restaurante con pocas mesas en primera línea de paseo de la ría. Lugar privilegiado. Bonita decoración destaca su limpieza y equipamiento. Acceso para…Más', 'Ayer estuvimos cenando y fue genial. El trato tabto de Unai el cocinero como el de la camarera fue muy bueno, nos asesoraron en todo momento y fue un acierto.…Más']","['Ubicación y contacto. Calle Iturribide 12 48006 Bilbao España. A 0...', '@biziberri.bilbao Bilbao-Bizkaia Pintxo Café Vinos Bebidas Comida ⌚️Abierto •Martes a Domingo 944 010 838 WhatsApp. wa.me/688789199.', 'Página · Bar de vinos · +34 944 15 43 54 · portuberribarria.com · Calificación · 45 157 opiniones.']"
Bar Eureka,,75,"4,2",1-10€,Tiene terraza· Se admiten perros,"Francisco Durrio Eskultorearen Kalea, 3, Deusto, 48015 Bilbo, Bizkaia","{'viernes': ['8:00–22:30'], 'sábado': ['8:00–22:30'], 'domingo': ['8:00–22:00'], 'lunes': ['8:00–22:00'], 'martes': ['Cerrado'], 'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00', 'Actualizado por esta empresa hace 7 semanas']}",944 75 13 29,"['Nos recomendaron ir a comer pintxos por esa zona y estuvimos viendo reseñas por aquí de este bar. Una vez lo vi, me tocó volver a entrar a Google para comprobar…Más', 'Amables, familiar,buenos pinchos y tortilla muy rica, y buen servicio.', 'El café y los pintxos BUENÍSIMOS y los cubatas EXCELENTES !!!\nBuena atención , como estar en casa con los buenos amigos .…Más']","['Tipos de cocina. Bar Española Pub ; Comidas. Cenas Comidas ; VENTAJAS. Capacidad Acceso para discapacitados Sirve alcohol Terraza exterior.', '26 ene 2024 — Bar Eureka n.º 283 entre los pubs y bares de Bilbao: 75 opiniones y 4 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'La carta actualizada de Bar Eureka. Precios y opiniones de los clientes sobre sus platos.']"
Dena Ona,,593,"4,0",€€,Tiene terraza· Sirve buenos cócteles· Ideal para ver deportes,"Rafaela Ybarra Kalea, 12, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:00–17:30'], 'sábado': ['8:00–17:30'], 'domingo': ['9:00–17:30'], 'lunes': ['8:00–17:30'], 'martes': ['8:00–17:30'], 'miércoles': ['8:00–17:30'], 'jueves': ['8:00–17:30']}",944 47 05 96,"['La comida es muy casera. Las tostadas son maravillosas, los mejillones y las rabas también. La sopa de pescado buenísima... todo está muy bueno y variado…Más', 'Hemos comido menú especial. La comida estaba muy rica. El servicio ha sido genial. Relación calidad precio muy buena. Repetiremos seguro. Un acierto', 'Bar de toda la vida en Deusto, lo han reformado recientemente. Está en la calle de la estatua del tigre, muy conocido en el centro. Las croquetas de jamón son…Más']","['Dena Ona · Tradición · Local · Gastronómica · Últimas Noticias · XII Concurso de Pintxos de Deusto · De pintxos a las finales · Música en directo con Guillermo...', 'Dena Ona. Restaurante Cafetería. Menú. Local. Cartas ˅. Carta principal · Platos combinados bocadillos y sandwiches · Platos para llevar. Menús ˅. Menú del Día...', 'Dena Ona · Calle Rafaela Ybarra 12 48014 Bilbao España · Página web · Mejora este perfil.']"
Aula Bar,,10,"4,6",1-10€,Tiene terraza· Se sirven platos veganos· Hay menú infantil,"Deustuibarra, 17, Deusto, 48014 Bilbo, Bizkaia",{},662 18 44 84,"['Probé el menú del día vegano y ¡me encantó! La propietaria del bar es súper maja y atenta, no se pierde un detalle y se amolda a tod@s.…Más', 'Me encanta!!!El café es riquísimo ,la repostería casera es una locura,por calidad y por variedad y el ambiente es una pasada, además da gusto la…Más', 'La verdad es que es un sitio de lo más acogedor. Tienen pintxos muy variados y utilizan ingredientes de gran calidad. Este bar a orillas de la ría de bilbao se…Más']","['☕️Cafetería de la universidad de diseño #iedkunsthalbilbao entre semana con cocina casera y variada ✨. Ribera de Deusto 17 Bilbao Spain 48014.', '18 ene 2024 — Aula Bar n.º 451 entre los pubs y bares de Bilbao: 10 opiniones y 12 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Cafetería de la universidad de Diseño IED Kunsthal. Ofrecemos desayunos con repostería casera surtido de pintxos salados que cambiamos a diario y comidas con...']"
Bar El pinolero,,268,"3,9",€,Tiene azotea· Tiene terraza· Hay karaoke,"Ramón y Cajal Etorb., 30, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['12:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['12:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['12:00–24:00'], 'miércoles': ['12:00–24:00'], 'jueves': ['12:00–24:00']}",657 70 18 62,"['En general, la comida en el Bar El Pinolero es muy buena. Los platos son abundantes y sabrosos, y los precios son razonables. El personal es amable y servicial.…Más', 'Aún estoy sentado en la mesa desde las 13.30 y son las 17.49 , la comida excepcional y mi jalapeño ni que que decir de 10, luego un churrasco ,hacia años no venía, pero volveré seguro.…Más', 'La comida está rica se hecha en falta un poco más de cantidad en algunas cosas como el queso o el aguacate. Pero el sito necesita un lavado de cara y la atención es un poco justa tardan de…Más']","['Bar El Pinolero Nicaragua Deusto Bilbao Spain. 4128 likes · 6 talking about this · 578 were here. Bar de comidas gastronomía Centro Americana carnes...', 'Ofrecemos platos y distintas bebidas como célebres tapas y también refrescante cerveza: estaremos encantados de aconsejarte. Un rico almuerzo o una rica cena...', '13 feb 2024 — Bar El pinolero n.º 120 entre los pubs y bares de Bilbao: 289 opiniones y 14 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Issas comida venezolana café y bar,,158,"4,7",10-20€,Tiene terraza· Ideal para ver deportes· Hay menú infantil,"Blas de Otero Kalea, 28, 5 bajo, Deusto, 48014 Bilbao, Biscay","{'viernes': ['16:00–23:00'], 'sábado': ['16:00–23:00'], 'domingo': ['10:00–23:00'], 'lunes': ['Cerrado'], 'martes': ['16:00–23:00'], 'miércoles': ['16:00–23:00'], 'jueves': ['16:00–23:00', 'Actualizado por esta empresa hace 1 semana']}",683 13 47 07,"['Fui con mi pareja y quedamos encantados. Nos sorprendió, excelente comida a buen precio y un trato de 10. Las salsas espectaculares, sobre todo la de bacon.…Más', 'Este lugar es perfecto si quieres comer comida venezolana en Bilbao! Tienen variedad en su menú! Desde pastelitos y empanadas hasta patacones y arepas cabimeras! La …Más', 'El sitio es muy pequeño asi que si queréis ir a cenar, mejor que sea temprano. El chico nos indicó que cogieramos las dos únicas mesas bajas ya que eramos 6,…Más']","['14 feb 2024 — Auténtica comida venezolana Pedidos 683134707 Blas de Otero 28 5 bajo - DEUSTO. maps.app.goo.gl/wd6LvU56ssLzNEWt8?g_st=ic.', '30 jul 2023 — el mejor venezolano de Bilbao. Isas para probar la mejor comida venezolana. como estos pequeñitos. y estos pastelitos bien rellenos. Mira Mira...', '21 feb 2024 — Issas comida venezolana café y bar n.º 25 entre los cafés de Bilbao: 126 opiniones. Localízalo en el mapa y llama para reservar mesa.']"
Bar Niza Barria,,113,"3,9",€,Tiene terraza· Ideal para ver deportes,"Blas de Otero Kalea, 28, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:00–15:00', '18:00–23:30'], 'sábado': ['8:00–15:00', '18:00–23:30'], 'domingo': ['11:00–15:00'], 'lunes': ['8:00–15:00', '18:00–22:30'], 'martes': ['8:00–15:00', '18:00–22:30'], 'miércoles': ['Cerrado'], 'jueves': ['8:00–15:00', '18:00–22:30']}",654 35 79 30,"['Hemos probado la tortilla, el salchichón y pintxo de bonito con pimiento, todo perfecto. Pero lo mejor la atencion de Basi (Basilio),@ no podría ser mejor: nos…Más', 'Supongo que lo de estar en plena pandemia y no llevar mascarilla no ayuda mucho a que estemos así. No solo desagradable el trato a la gente, no respetar las…Más', 'El camarero y imagino que dueño es un maleducado y un impresentable,nunca mas volveré a este bar mientras siga el de camarero, será por bares maravilloso en Deusto,con ca…Más']","['El restaurante Niza Bar Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4.5...', '16 ene 2024 — Bar Niza Barria está muy cerca de Museo Maritimo Ria de Bilbao. Disfruta de uno de los mejores placeres de esta vida: un sabroso laing...', 'Bar Niza Barria en Bilbao. Blas de Otero Kalea 28  Biscay Bilbao · 654 35 79 30. Las mejores Terrazas. 78. Basado en 113 opiniones encontradas en 1 webs...']"
"Café-Bar ""La Bolera""",,367,"4,1",10-20€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Agirre Lehendakariaren Etorb., 27, Deusto, 48014 Bilbo, Bizkaia",{},944 75 90 67,"['Una cafetería muy agradable de una de las calles principales de Bilbao. He podido probar un pintxo de jamón con tomate y estaba rico aunque el pan un poco duro.…Más', 'Comida de fin de semana, exquisita, muy buena calidad, presentación y servicio.\nPara empezar paella de carne y menestra, muy buenas…Más', 'El menú del día está muy bien. Precio asequible y buen servicio. El personal es muy profesional y amable.…Más']","['La Bolera · Página · Tienda de café · +34 944 75 90 67 · Calificación · 49 20 opiniones.', '10 ene 2024 — Café-Bar ""La Bolera"" n.º 79 entre las coffee houses de Bilbao: ❤️ 386 opiniones y 52 fotos detalladas. Localízalo en el mapa y llama...', 'La Bolera Cafetería ; Imagen de Okey Bar. Okey Bar. Avenida Enecuri 2 Bilbao. Bares y cafeterías en Bizkaia | Ocio Nocturno en Bilbao ; Imagen de Madariaga 33...']"
