title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Bar Ikar,,15,"4,6",,,"Carmelo Gil Doktoreen Kalea, 3, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['14:00–1:00'], 'jueves': ['14:00–1:00'], 'viernes': ['14:00–3:00'], 'sábado': ['14:00–3:00'], 'domingo': ['14:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,"['Me sorprende mucho que la gente indique que tienen buenas medidas anti COVID. Limpiarán el bar un día al mes (con suerte). Los baños son un asco, las copas pésimas y de las camarera…Más', 'Es el bar de rosario y adriana , lo llevan con mucho amor y dedicación , es como ir a casita con servicio atención, buenas medidas covid. Animaré a ir.', 'Es un bar excelente, los platos son exquisitos. Espero que todos puedan pasar a conocer más de la gastronomía boliviana.']","['Bar Ikar es tu bar amigo en Bilbao donde puedes ser tú y disfrutar de los mejor de la vida: La mejor música obvio que nos encanta lo que a ti te encanta...', 'Bar céntrico con una gran oferta en bebidas. En nuestro local podrás disfrutar de nuestras tapas deliciosas además de un refrescante vaso de cerveza y una...', '17 feb 2024 — Bar Ikar n.º 323 entre los pubs y bares de Bilbao: 15 opiniones y 6 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.']"
La Huella Iberica,,66,"4,4",€€,,"Alameda de Recalde, 59, Abando, 48010 Bilbao, Biscay","{'miércoles': ['10:00–24:00'], 'jueves': ['10:00–24:00'], 'viernes': ['10:00–24:00'], 'sábado': ['12:00–1:00'], 'domingo': ['12:00–23:00'], 'lunes': ['10:00–24:00'], 'martes': ['13:00–24:00']}",,"['Sólo tome un café pero trato agradable.…Más', 'Sin duda sitio por el se tiene que pasar si estás por la zona, pinchos muy ricos🤤mmm. Trato excelente, da gusto ir a un sitio y te atiendan de así. Totalmente recomendable. Volver…Más', 'Que tinto de verano mas rico nos pone Zule']","['Bar especializado en embutido ibérico con gran variedad de bocatitas y raciones jamón lomo salchichón queso cabeza de jabalí... Todo muy rico y buena...', 'La Huella Iberica Bilbao. 108 Me gusta · 30 personas han estado aquí. Especialidad en ibericos y una carta amplia de vinos.', 'Situado en un lugar inmejorable y tiene una buena terraza Siguen en su misma tónica. Lugar muy agradable con unas magníficas vistas. Si cabe el servicio es...']"
Bar La Gramola,,43,"4,2",€,Tiene terraza· Se sirve comida en el bar,"Ávila Kalea, 3, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–1:00'], 'jueves': ['9:00–1:00'], 'viernes': ['9:00–2:30'], 'sábado': ['9:00–2:30'], 'domingo': ['10:00–1:00'], 'lunes': ['9:00–1:00'], 'martes': ['9:00–1:00']}",,"['Ambiente agradable, buen menú, la atención es super buena y te hacen sentir en casa.…Más', 'Vergonzoso que no respeten a los vecinos con los horarios de la terraza entre semana. Todos queremos una buena convivencia en el municipio pero sus derechos son…Más', 'Lugar pequeño pero acogedor. Dueños nuevos. Buenos pintxos y lo mejor.. El mojito. Exquisito y muy bien de precio. Parada obligatoria en Trapaga.']","['10 ene 2024 — Bar La Gramola n.º 301 entre los pubs y bares de Bilbao: 44 opiniones y 18 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'El bar Bilbao se encuentra Ávila Kalea 3 48012 Bilbao. La Gramola Bilbao en el mapa de Schlouk con toda la información: horarios de apertura happy hours...', '11 ago 2023 — La carta de La Gramola de la categoría Pub en Bilbao Ávila Kalea 3 48012 Bilbo Bizkaia Spain Bilbao. Puede encontrarse y verse aquí.']"
Bar Garrote,,67,"4,2",€,,"Calixto Diez K., 11, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00'], 'viernes': ['8:00–23:00'], 'sábado': ['11:30–23:00'], 'domingo': ['11:30–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00']}",,"['Cervezas de importación, perfecto. La hamburguesa no será como el amaren pero es muy rica. Precios muy asequibles, también tiene pizzas con masa artesanal de…Más', 'Ambiente espectacular para ver los partidos del Athletic y jugar al mus a cualquier hora. Hay gente fácil de ganar como kamatxo- Asier - Miguelito etc. El que entra ya no puede salir de este bar.', 'Un bar de barrio típico de bilbao, con Iñigo y Rubén que siempre te van a tratar de manera inmejorable']","['20 feb 2024 — Bar Garrote n.º 88 entre los pubs y bares de Bilbao: 67 opiniones y 13 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'BAR GARROTE. Bares Calle Calixto Díez 11 48012 Rekalde / Errekalde Bilbao Vizcaya. Abierto. Ver teléfono. Llamar · Cómo llegar. Ubicación de BAR GARROTE.', 'Bar Garrote. Bar / pub · Restaurante. Favorito. Escribir. Llamar. Información del negocio. business location map. Bilbao. Closed until Sat 11:30 AM...']"
Café Bar Fabiola,,76,"4,7",1-10€,Tiene terraza,"Pablo de Alzola Kalea, 9, Basurtu-Zorrotza, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–17:00'], 'jueves': ['Cerrado'], 'viernes': ['Cerrado'], 'sábado': ['Abierto 24 horas'], 'domingo': ['10:30–23:30'], 'lunes': ['9:00–23:30'], 'martes': ['9:00–23:30', 'Actualizado por otras personas hace 4 semanas']}",,"['Es un establecimiento pequeño que te da varias opciones para picar en donde por lo poco que puede ver mezcla pintxos latinos como empanadas con pintxos locales.…Más', 'Sitio tranquilo para tomar algo. Tiene la cerveza Oro, que está muy buena y también la Alhambra roja', 'Muy buena atención por parte del chico de la barra , muy amable y atento a los clientes , muchas gracias , volveremos…Más']","['Cafébar Fabiola · Página · Bar · +34 946 11 15 13 · Calificación · 50 16 opiniones.', '5 feb 2024 — Café Bar Fabiola n.º 97 entre los cafés de Bilbao: 75 opiniones y 21 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Es un establecimiento pequeño que te da varias opciones para picar en donde por lo poco que puede ver mezcla pintxos latinos como empanadas con pintxos...']"
Bar El Arbol,,450,"4,4",10-20€,,"Plaza Metzola, Salazar Jeneralaren Kalea, 1, 48012 Bilbo, Bizkaia","{'miércoles': ['10:00–18:00'], 'jueves': ['10:00–18:00'], 'viernes': ['10:00–18:00'], 'sábado': ['10:00–19:00'], 'domingo': ['10:00–19:00'], 'lunes': ['Cerrado'], 'martes': ['10:00–18:00']}",,"['Por probar la comida colombiana no está mal.\nLa decoración es lamentable.…Más', 'Se come que es una maravilla y el sitio , pues un sitio humilde como muchos que hay en Latinoamérica.Me hacen gracia los comentarios de no se puede pagar con…Más', 'Súper rica la comida ,lo recomiendo 100% y la atención muy buena . No me canso de repetir ……Más']","['Horario de apertura · Lunes - Viernes · Sábado · Domingo. Estamos cerrados. Horario de cocina...', 'Restaurante el arbol · Página · Bar · +34 944 36 15 49 · Calificación · 38 39 opiniones.', '16 oct 2023 — Ismael y Bárbara se suman con las sugerencias de El Árbol que abarcan desde desayunos y pintxos hasta distintos menús y una completa carta...']"
Bar Viena,,18,"4,3",,Sirve buenos cócteles· Se sirve comida en el bar,"Gordóniz Kalea, 34, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–1:00'], 'sábado': ['9:00–1:00'], 'domingo': ['9:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['Comida sencilla y rica. Calidad precio imbatible. Atención amable y cercana.…Más', 'Tiene la comida muy buena.…Más', 'Ambiente agradable y excelente servicio.…Más']","['los invito a q lo veamos juntos en Gordoniz 34 Bar Nuevo Viena por tu consumición plato de CONSOMÉ y ARROZ CON POLLO totalmente GRATIS comiendo en fa000ia', '12 feb 2024 — Bar Viena n.º 448 entre los pubs y bares de Bilbao: 23 opiniones y 16 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Bar Viena Bilbao. 71 likes. UN POQUITO DE ESTO OTRO POQUITO DE AQUELLO.. Y TENEMOS LA MAGIA DEL SABOR DE LOS BUENOS MOMENTOS.']"
Batzoki Bar Amézola,,5,"3,6",,,"Salazar Jeneralaren Kalea, 20, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00'], 'viernes': ['8:00–23:00'], 'sábado': ['10:00–22:30'], 'domingo': ['10:00–22:30'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00']}",,"['Agradable el personal y muy buen servicio.\nExcelente comida casera. Bien para los críos.…Más', 'siempre esta a tope el bar, tiene muchos pintxos y de precio esta muy bien. Tiene una terraza grande y con los calefactores para cuando hace frio.']","['DIRECCIÓN. General Salazar 13 bajo derecha 48012 Bilbao Bizkaia. Nuestro Batzoki está situado junto a la Plaza de La Casilla en una esquina...', 'Tiene buena cocina y a precios asequibles!! Buenos vinos Txakoli cervezas y buen servício. Un lugar cómodo para comer . Ideal para comidas fa000iares o de...', '31 ene 2016 — Batzoki Rekalde: El mejor Batzoki de Bilbao y el mejor bar restaurante de la zona de Amezola - 33 opiniones y 17 fotos de viajeros...']"
Vista Caribbean Bar,,85,"4,1",,,"Autonomia Kalea, 58, Abando, 48012 Bilbo, Bizkaia",{},,"['No es nada recomendable pedir a domicilio, les habré hecho como 50 pedidos y en mínimo 15 ocasiones me han dado ganas de llevarles el chicharrón quemado que te…Más', 'Estuve aqui hace unos años y la comida estaba muy buena. Hoy he vuelto para comer. El bar es pequeñito pero agradable, con buen ambiente. Destacar la amabilidad…Más', 'Realicé un pedido a través de GLOVO, tardó en llegar 1h y llegó totalmente quemado. Por fuera quemado pero al partirlo estaba crudo. Lógicamente, imposible de…Más']","['Vista Caribbean Bar. Caribeña Centroamericana. 5 estrellas sobre 5. 3 opiniones. Autonomia Kalea 56 Bilbo 48012. Entrega desde X 14:35. Quiero recogida.', '6608 Followers 1271 Following 88 Posts - See Instagram photos and videos from Vista Caribbean Bar @vistacaribbeanbar', 'Vista Bar ; Ensalada vegetal · 550 € ; Yucas fritas ración. 550 € ; Tostones ración. 400 € ; Yuca ración. 400 € ; patatas fritas ración. 350 €.']"
"Bar ""Toki Alai""",,198,"4,4",€,Tiene terraza· Sirve buenos cócteles· No se aceptan reservas,"Ametzola Parkea, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['9:00–24:00']}",,"['Un lugar muy agradable y bien atendido, buenos pintxos y buen ambiente. Ubicación estupenda para relajarse un poco tomando algo en su terraza.', 'Tenía gran variedad de pintxos, con muy buena presencia. Pequeño pero acogedor. Nos atendió muy bien', 'Local pequeñito pero con terraza.Es mi bar de referencia en la zona para tomar un vino si quieres algo más q el tipico crianza rioja, ya que suele tener varias D.O. Además preparan la…Más']","['Ver 3 fotos de 17 visitantes de Bar Toki-Alai.', '16 ene 2024 — Bar Toki Alai n.º 747 entre los pubs y bares de Bilbao: 207 opiniones y 50 fotos detalladas. Localízalo en el mapa y llama para reservar...', 'Toki Alai · Puntuaciones y opiniones · Detalles · Ubicación y contacto.']"
Purita Bar Restaurante,,211,"3,8",1-10€,,"Ciudadela Kalea frente al 2, 48002 Bilbao, Biscay","{'miércoles': ['7:30–1:00'], 'jueves': ['7:30–1:00'], 'viernes': ['7:30–2:30'], 'sábado': ['9:00–2:30'], 'domingo': ['9:00–1:00'], 'lunes': ['7:30–1:00'], 'martes': ['7:30–1:00']}",,"['Nunca he comido una hamburguesa de allá dice que son ricas .regáleme.una para degustar. Calle doctor Díaz emparanza portal 29 5 b gracias', 'Sus hamburguesas son geniales, tienen un sabor buenisimo y productos frescos y de calidad. En general toda su comida es fantastica. La atencion de las diversas…Más', 'Genial para tomarte algo…Más']","['Bar Restaurante Purita · Página · Bocadillería · +34 946 56 73 40 · puritarestaurante.com · Calificación · 40 11 opiniones.', '20 feb 2024 — Pide un casero laing unas generosas hamburguesas americanas o unos perfectamente elaborados pintxos en este bar. Pone a disposición de sus...', 'Purita Bar Restaurante en Bilbao. Ciudadela Kalea frente al 2  Biscay Bilbao.']"
Restaurante Aritz,,533,"4,3",10-20€,,"Calle zugastinovia, 4, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['8:00–23:00'], 'jueves': ['8:00–24:00'], 'viernes': ['8:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00']}",,"['Comimos el menú dos personas. Muy variado.\nPedimos unas ensaladas de atún y de segundo pescado.…Más', 'Ha sido la mejor experiencia que he tenido. He disfrutado mucho de la comida. Restaurante limpio, con buena distribución. Personal atento, correcto en el trato,…Más', 'La comida casera súper bien preparada, tanto de presentación como de sabor. Me encantó todo. La atención rápida y amable. El local muy cuidado. Muy muy recomendable, repetiré …Más']","['El restaurante Restaurante Aritz está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4; Calidad/precio: 4.5...', 'Restaurante Aritz bilbao. 769 Me gusta. Comida tradicional casera con toques de autor... Mariscos pescados chuleton variedad de cervezas coctails y...', 'La comida estaba buena pero más bien como menu diario no como fin de semana. El servicio un poco agobiante. Nos dijeron que teniamos X tiempo para comer le...']"
Restaurante pulperia A'lareira Bilbao,,618,"4,5",€,,"Carmelo Gil Doktoreen Kalea, 9, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['11:00–17:00'], 'jueves': ['11:00–17:00'], 'viernes': ['11:00–1:00'], 'sábado': ['12:00–1:00'], 'domingo': ['12:00–17:00'], 'lunes': ['11:00–17:00'], 'martes': ['11:00–17:00']}",,"['RECOMENDADISIMO!!…Más', 'Buen producto. La cecina espectacular. El pulpo estaba bueno, pero ese día se les había pasado de cocción. El pescado muy bueno. La tarta de queso muy buena, pero las torrijas no…Más', 'Hemos degustado comida típica gallega. En concreto, los mejillones al vapor eran de excelente calidad. En cuanto al pulpo a feira, la ración era muy abundante,…Más']","[""Galería · Contacto. Ver más. Pulpería · \ufeffA' lareira. Dirección. C/ Doctores Carmelo Gil 9. 48012 - Bilbao. Teléfono. 944 43 97 73. Horario. Lun - Jueves: 11:00..."", 'El restaurante Pulperia A Lareira Sl está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4.5; Calidad/precio: 4...', ""700 €. Valenciano. 700 €. Pulpería · \ufeffA' lareira. Dirección. C/ Doctores Carmelo Gil 9. 48012 - Bilbao. Teléfono. 944 43 97 73. Horario. Lun - Jueves: 11:00...""]"
Bar Restaurante Bilbao,,507,"3,9",10-20€,,"Errekalde-Larraskitu Errepidea, 2, Errekalde, 48002 Bilbo, Bizkaia","{'miércoles': ['8:30–23:00'], 'jueves': ['8:30–23:00'], 'viernes': ['10:30–24:00'], 'sábado': ['10:30–24:00'], 'domingo': ['10:30–23:00'], 'lunes': ['8:30–23:00'], 'martes': ['8:30–23:00']}",,"['El zurito más pequeño de Bilbao, a 1,50 eso sí, vergonzoso. El camarero muy borde alardeando de su experiencia de 30 años de servicio. Las cañas caras y todo espuma, una estafa…Más', 'He ido varias veces tanto a comer como a cenar. La verdad que no puedo estar más encantada en general. El chuletón siempre de 10…Más', 'No he probado la comida\nEl camarero de barra un poco borde a la hora de hacer el pedido en el bar.…Más']","['Ubicación y contacto. Carretera Larraskitu 2 Barrio De Rekaldeberri 48003 Bilbao España.', 'CAFÉ BAR BILBAO. Uno de los espacios-locales-ambientes más queridos por los bilbainos y al mismo tiempo más a admirados por los visitantes. Zona de bar.', 'Ubicación y contacto. Plaza Nueva 6 48005 Bilbao España. A 0...']"
Punto de encuentro,,8,"4,4",€,,"Dolores Ibárruri Kalea, 15, Errekalde, 48012 Bilbo, Bizkaia","{'miércoles': ['13:00–16:00'], 'jueves': ['13:00–16:00'], 'viernes': ['13:00–16:00', '20:00–23:01'], 'sábado': ['13:00–16:00', '20:00–23:00'], 'domingo': ['13:00–16:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,"['Bocatas super buenos, con pan crujiente. El postre también esta muy rico. Una terraza muy agradable en pleno parque Amezola.', 'Esta cerrado desde Enero de 2017.\nTerraza al solete en la parte más tranquila del parque de Amezola.', 'Buenos pintxos y rabas']","['Punto de encuentro es un bar cafetería situado en la calle Mazarredo pequeño pero muy acogedor. Este local acoge a muchas personas que antes del trabajo...', 'Así el programa de Punto de Encuentro Fa000iar de Atención Especializada está dirigido fundamentalmente al desarrollo de visitas entre el niño niña o...', 'Buena comida y buenos precios. La hamburguesa rockera esta deliciosa. Se encuentra muy bien situado no muy lejos del museo Guggenheim. Fecha...']"
