title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
El Huevo Berria,Decoración del Athletic Club y barra de pintxos en una cafetería moderna con ensaladas y taburetes altos.,13000,"4,1",1-10€,Tiene terraza· No se aceptan reservas,"Poza Lizentziatuaren Kalea, 65, Abando, 48013 Bilbo, Bizkaia","{'viernes': ['10:30–1:00'], 'sábado': ['10:30–1:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–24:00']}",944 27 13 48,"['El mejor sitio para comer de todo Bilbao!!!! Los pintxos buenísimos y las chicas de barra no podrían ser más simpáticas! 10000/10…Más', 'Buen sitio para comer barato si estas por la zona…Más', 'Sandwich de txaka 🦀. Seguro que hay mejores pintxos que probaré la próxima vez.…Más']","['El restaurante Huevo Berria está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 3.5; Calidad/precio: 3...', 'El huevo berria · Página · Bar de tapas y restaurante · +34 944 27 13 48 · elhuevoberria.com · Calificación · 48 28 opiniones · Publicación fijada.', 'Tu bar de Pintxos cerca de San Mamés. Comparte tus visitas con nosotros. Calle del Licenciado Poza 65 Bilbao Spain 48013. www.elhuevoberria.com.']"
El Puertito,Conocido bar de ostras informal con variedades de ostras crudas vino y cócteles.,15000,"4,5",10-20€,Tiene terraza· No se aceptan reservas,"García Rivero Maisuaren Kalea, 9, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['12:00–23:00'], 'sábado': ['12:00–23:00'], 'domingo': ['12:00–22:00'], 'lunes': ['12:00–22:00'], 'martes': ['12:00–22:00'], 'miércoles': ['12:00–22:00'], 'jueves': ['12:00–22:00']}",944 02 62 54,"['Las otras que no tienes que perderte si vas a Bilbao.\nLas gallegas por excelencia, irlandesas doradas y las ginardo Francesas!! Por ese orden todo excelente y la atención…Más', 'Un pequeño local dedicado exclusivamente a ostras y bebidas, entre ellas cavas y champagnes. Recomendable. El producto estaba muy bueno.', 'El sumum, muy buena atención, ambiente y las ostras buenísimas.']","['Somos especialistas en catering de ostras para eventos desde 2013. Pide presupuesto sin compromiso. Bilbao. C/ García Rivero 9 944 026 254 Contacto Mail...', 'El restaurante El Puertito está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4...', 'Es un buen sitio para comer ostras en Bilbao. Las tienen de muchas clases y el vino blanco también muy rico . Es pequeñito y tiene terraza . Si te gustan las...']"
Restaurante Doze,,665,"4,3",€€,Tiene terraza· Sirve buenos cócteles,"Indautxu Kalea, 3, Abando, 48009 Bilbo, Bizkaia","{'viernes': ['12:00–24:00'], 'sábado': ['12:00–24:00'], 'domingo': ['12:00–16:00'], 'lunes': ['12:00–23:00'], 'martes': ['12:00–23:00'], 'miércoles': ['12:00–23:00'], 'jueves': ['12:00–23:00']}",944 74 40 55,"['De nuevo cenamos aquí. Compartimos ensalada de tomate y ventresca, pulpo a la parrilla ( esta vez no estaba en su punto), verduras a la parrilla, muy sabrosas…Más', 'Tenía buena pinta y los platos sonaban originales. Me quedé con la ganas, Pero no nos gustó como nos hizo sentir en la barra. Quizás por ser de fuera o por…Más', 'Hacía tiempo que no me encontraba tan sorprendido gratamente con un sitio. Relación calidad-precio genial y los pintxos súper grandes. Hemos comido ensaladilla, ……Más']","['No existe modernidad sin una buena tradición. Siempre respetando los sabores de nuestra tierra.', 'Ubicación y contacto · ¿Una persona vegana podría comer bien en el restaurante? · ¿Es un bar de zumos o batidos? · ¿Es este restaurante de cocina mediterránea? · ¿...', 'El Doze es el sitio perfecto para comer o cenar de picoteo en el centro de Bilbao. Los clientes destacan su atún rojo en tartar o solo000lo las anchoas y...']"
Bar Txistua,,75,"4,1",,Tiene terraza· No se aceptan reservas,"García Rivero Maisuaren Kalea, 4, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['10:30–15:00', '19:00–23:00'], 'sábado': ['10:30–15:00', '19:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['10:30–15:00', '19:00–23:00'], 'martes': ['10:30–15:00', '19:00–23:00'], 'miércoles': ['10:30–15:00', '19:00–23:00'], 'jueves': ['10:30–15:00', '19:00–23:00']}",944 42 08 37,"['El típico bar de pintxos de bilbao. Pequeñito si, pero vinos y pintxos extraordinarios', 'Buenos pintxos y buen vino y combinados, en una zona céntrica y de mucho ambiente. El precio muy razonable. Los camareros muy muy agradables. Pasamos un rato estupendo', 'Sitio estupendo con productos de calidad y barato. Buen vino, buenos pinchos y atención estupenda. Lugar muy familiar. Taco de Bonito de los mejores que he probado.']","['Bar Txistua Bilbao: Consulta 10 opiniones sobre Bar Txistua con puntuación 5 de 5 y clasificado en Tripadvisor N.°568 de 1.234 restaurantes en Bilbao.', 'Consigue las mejores ofertas para Bar Txistua en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'Fotografía de Bar Txistua Bilbao: Bar Txistua. Echa un vistazo a los 16 vídeos y fotos de Bar Txistua que han tomado los miembros de Tripadvisor.']"
Covent Garden,,26000,"4,1",1-10€,Tiene terraza· Sirve buenos cócteles· Se puede bailar,"Areiltza Doktorearen Zumarkalea, 28, Abando, 48009 Bilbo, Bizkaia","{'viernes': ['8:30–3:00'], 'sábado': ['10:00–3:00'], 'domingo': ['11:00–23:00'], 'lunes': ['8:30–24:00'], 'martes': ['8:30–24:00'], 'miércoles': ['8:30–24:00'], 'jueves': ['8:30–1:00']}",944 66 75 49,"['La comida estaba rica y el servicio bastante bien. Nosotros hemos pedido el menú (pisto y ensalada de bacalao de primero y de segundo albóndigas con salsa de…Más', 'Excelente servicio...sobre todo de uno de sus empleados, Santi, que personaliza la atención !!muy recomendable', 'Lugar perfecto para pasar un rato agradable con buena música, buenos pintxos, camareros muy majos y un sitio muy acogedor gracias a su decoración. Cenamos por…Más']","['El restaurante Covent Garden Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3; Calidad/precio: 3.5...', 'El ambiente el sonido y el sabor de Inglaterra en Bilbao Web ⬇️⬇️ Breakfast & Brunchs Teas & Coffees Food & Beer Drinks & Music Fun & Sports.']"
BAR GAZTANDEGI,,634,"4,4",10-20€,Tiene terraza· No se aceptan reservas,"García Rivero Maisuaren Kalea, 10, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['11:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['11:00–24:00'], 'martes': ['11:00–24:00'], 'miércoles': ['11:00–24:00'], 'jueves': ['22:00–24:00', 'Actualizado por teléfono hace 7 semanas']}",,"['Un buen bar para degustar una infinidad de quesos acompañados con un buen vino o una cerveza. Si eres un amante del queso, este es tu lugar. Repetiremos!!!…Más', 'Un sitio increíble, pinchos y vinos de la zona riquísimos.\nEl local cuenta con una pequeña sala interior y algunas mesas en terraza, suele…Más', 'Excelente bar de una zona muy interesante de pinchos especializada en el mundo del queso con denominaciónes realmente muy muy interesantes y con un chef que domina …Más']","['Bar de García Rivero especializado en quesos. Tienen la barra llena de pinchos de todo tipo de quesos. A resaltar la 000hojas de idiazabal y el gratinado de...', 'Bar situado en pleno Indautxu con una gran variedad de vinos y pintxos para deleitar los mejores paladares. Local pequeño acogedor y con encanto en la carta...', 'Nuestro establecimiento es un bar sofisticado situado en el corazón de Indautxu que ofrece una amplia selección de vinos y exquisitos pintxos para...']"
Café Grafit,Tapas pinchos y comida de pub en un bar informal inspirado en la música rock donde se celebran conciertos en directo.,22000,"4,3",10-20€,Tiene terraza· Ideal para ver deportes,"Urrutia Kalea, 1, Local bajo, Abando, 48010 Bilbao, Biscay","{'viernes': ['8:00–2:30'], 'sábado': ['10:30–2:00'], 'domingo': ['17:00–24:00'], 'lunes': ['8:00–24:00'], 'martes': ['8:00–24:00'], 'miércoles': ['8:00–24:00'], 'jueves': ['8:00–24:00']}",944 10 27 72,"['Estuvo bien. Pedimos unas croquetas que no se si volvería a pedir porque sin mas. Pero las patatas dado con seis salsas estaban muy buenas. Lo único malo fue que la salsa ali oli e…Más', 'Cerca de nuestro hotel, en el centro de Bilbao. Este lugar es ideal para desayunar, tiene pinchitos, la tortilla fabulosa, uyyy y el zumo de naranja delicioso…Más', 'Hoy ha celebrado mi hijo el cumple con unos amigos. Trato excelente y comida de 10. Da gusto acudir a sitios donde l@s camarer@s vienen siempre con la sonrisa en la cara d…Más']","['CaféBar Salón Terraza Bilbao Bizkaia EH.', 'El restaurante Grafit Rock Café está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4; Calidad/precio: 4...', 'Grafit Rock Café · Página · Gastropub · +34 944 10 27 72 · grafitcafe.com · Calificación · 42 58 opiniones.']"
El rincón de pozas,,3,"5,0",,,"Poza Lizentziatuaren Kalea, 50, Abando, 48013 Bilbo, Bizkaia","{'viernes': ['8:30–24:00'], 'sábado': ['11:00–1:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–22:00'], 'martes': ['8:30–22:00'], 'miércoles': ['8:30–22:00'], 'jueves': ['8:30–23:30']}",,['Inmejorable el menú chuletón. Merece la pena…Más'],"['Su dirección IP se enviará a Google Maps. Mapa de indicaciones. Licenciado Pozas 12 480011 bilbao España. Nuestros horarios de apertura. Lunes. 13:00 – 16:00.', 'comidas ventajas. Ubicación y contacto. Licenciado Poza 12 48011 Bilbao España. Indautxu. A 09 km de Museo Guggenheim Bilbao. Sitio web. Llamar · Mejora...', '4 oct 2019 — El Rincón de Carlos Bilbao · Dirección Licenciado Poza 12. · Teléfono 639620552. · Precios Menú del día: 1320 €. Menú fin de semana: 22 €.']"
Restaurante Farketa 56,Restaurante con entramado de madera y bustos de caza que sirve gastronomía vasca con chuletón y mariscos.,419,"4,0",€€,Hay chimenea· Tiene Wi-Fi· Sillas altas disponibles,"Rodríguez Arias K., 56, Abando, 48013 Bilbo, Bizkaia","{'viernes': ['8:00–24:00'], 'sábado': ['9:00–1:00'], 'domingo': ['9:00–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00']}",944 41 97 61,"['Muy mala relación calidad precio. Fuimos un grupo de 7 personas y estábamos solos en el restaurante, tardaron 30 minutos en comenzar a servir unos langostinos a…Más', 'Grupo grande que no contamos cn espacio suficiente en la mesa , el vino compartido para 4, el jamón de entrante poca cantidad una o dos lonchas por comensal y…Más', 'Experiencia brutal ! Restaurante tradicional comida vasca 💯\nEl txuleton mayor de 1 kg sabroso y se deshacía en boca de lo tierno que era ,…Más']","['El restaurante Farketa 56 está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4; Servicio: 4.5; Calidad/precio: 4; Atmósfera:...', 'Toda la información del restaurante Farketa 56 en Bilbo: Fotos opiniones de usuarios precios y menú. Reserva online de forma gratuita en TheFork.', 'Descubre la carta del restaurante Farketa 56 en Bilbo en TheFork: entrantes platos principales postres bebidas y menús especiales.']"
La taberna de Zarate,,915,"4,2",1-10€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Fernández del Campo K., 35, Abando, 48010 Bilbo, Bizkaia","{'viernes': ['10:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['11:00–23:30'], 'lunes': ['Cerrado'], 'martes': ['10:00–23:30'], 'miércoles': ['10:00–23:30'], 'jueves': ['10:00–23:30']}",946 07 31 09,"['Fuimos un grupo de 11 personas a cenar y nos dió da la impresión de que este establecimiento comienza a morir de éxito. Porque nos sirvieron una tortilla ……Más', 'Dudaba en poner este comentario, pero después de leer todas las quejas del personal... no me ha extrañado nada lo que me ha sucedido. Pido un zurito y un pincho…Más', 'Sin duda una de las mejores tortillas de Bilbao. La picante, con alegrías, es un vicio. Punto de cuajado perfecto, buen punto de sal y riquísima.…Más']","['La taberna de Zarate · Cocina abierta todo el día. Reservas únicamente al teléfono 946073109...', 'La Taberna de Zarate · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Fernández del Campo Kalea 35 48010 Bilbao...', 'Horarios Cerrado ahora · Martes de 10:00 a 23:30 · Miércoles de 10:00 a 23:30 · Jueves de 10:00 a 23:30 · Viernes de 10:00 a 00:00 · Sábado de 10:00 a 00:00...']"
Cafetería Restaurante Gredos,Un capote y fotos taurinas ambientan un café-restaurante de cocina española con cazuelitas pinchos y terraza.,463,"4,3",1-10€,Tiene terraza· Sirve buenos cócteles,"Urkixo Zumarkalea, 50, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['7:30–22:30'], 'sábado': ['9:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['7:30–22:30'], 'martes': ['7:30–22:30'], 'miércoles': ['7:30–22:30'], 'jueves': ['7:30–22:30']}",944 21 18 45,"['Soy cliente habitual y vivo en la zona. Café rico y bien hecho, las tortillas buenas, los pinchos clásicos pero bien y buena selección de vinos. Si quieres un ……Más', 'La calidad de la comida, y la amabilidad de todo el personal, hace totalmente recomendable este restaurante. ¡¡Enhorabuena!!…Más', 'tratar esquisito y unas alubias con sacramentos de 10!']","['Menú diario desayunos y elaboraciones caseras. Restaurante Gredos. Alameda Urquijo 50 Bilbao.', 'Menú 1. de Lunes a Viernes. Entrantes para compartir. Ensalada templada de ventresca y piquillos. Setas a la plancha con Ibéricos. Segundos.', 'Restaurante Gredos · Alameda de Urquijo 50 48011 Bilbao España · Página web · Mejora este perfil.']"
Bar Nashville Bilbao,,532,"4,4",1-10€,Tiene terraza· No se aceptan reservas· Se sirve comida en el bar,"Poza Lizentziatuaren Kalea, 24, Abando, 48011 Bilbo, Bizkaia","{'viernes': ['9:00–1:00'], 'sábado': ['9:00–1:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–16:00', '18:30–23:30'], 'martes': ['9:00–16:00', '18:30–23:30'], 'miércoles': ['9:00–16:00', '18:30–23:30'], 'jueves': ['9:00–16:00', '18:30–24:00']}",944 05 55 06,"['Buen lugar, paramos de casualidad.... Y un verdadero acierto muy buena musica el trato excepcional por parte de Marco, un verdadero placer encontrar…Más', 'La tortilla no está mal pero Buff me ha defraudado un poco. He cogido de jamón y queso y creo que en tamaño y calidad me parece un pc caro. Puede que sea x la zona pero he c…Más', 'Espectacular tortilla de patata. Desecha y muy sabrosa, merece la pena probarla, de las mejores de la zona.…Más']","['En Nashville llevamos más de 15 años elaborando una de las mejores tortillas de Bilbao ¡ven y pruébalas! Nuestra cocina está abierta todo el día siempre...', 'Nada que ver la tortilla para llevar con los pinchos que sacan en el bar. Es uno de mis sitios favoritos para comer tortilla de patata en Bilbao. Por eso...', 'Brilliant bar! The freshly made Tortillas are excellent and probably amongst the best in Bilbao. Great atmosphere and service. Small fun place.']"
