title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Abadía,,539,"3,9",10-20€,Tiene terraza· No se aceptan reservas· Se sirve comida en el bar,"Iparraguirre Kalea, 4, Abando, 48009 Bilbo, Bizkaia",{},944 24 37 14,"['Me pareció un bar de pinchos increíble! Atienden super bien y rápido. Tienen mucha variedad y están buenísimos. Lo recomiendo sin duda alguna, saldrás encantad@. La tortil…Más', 'Hemos desayunado y pensábamos que por la ubicación (justo al lado del Guggenheim), sería caro pero nos hemos llevado una grata sorpresa en cuanto a la relación ……Más', 'Agradable terraza para comer justo enfrente del Museo Guggenheim. Chopitos espectaculares y atencion personal de diez. Y ademas......buen precio. ¿Se puede pedir mas??? Volver!!!!!']","['El restaurante Gastrobar Abadia está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 3.5; Calidad/precio: 4...', 'Gastrobar al puro estilo Bilbaino de Pintxos de primera y comida casera con las mejores vistas al Guggenheim y Puppy. El Abadía es un bar especializado en...', 'Gastrobar Abadia · Calificaciones y opiniones · Detalles · Ubicación e información de contacto. Iparraguirre 4 48009 Bilbao España.']"
Bar El Globo | Bar de pintxos,Bar acogedor que sirve pinchos y vinos españoles en un comedor revestido de madera con una iluminación tenue.,87000,"4,4",10-20€,Tiene terraza,"Diputazio Kalea, 8, Abando, 48008 Bilbo, Bizkaia","{'sábado': ['11:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00']}",944 31 38 58,"['Estuvimos un viernes por la mañana y el local estaba bastante lleno, sin apenas sitio para poder ponerte en la barra. Comentar la variedad y el calidad de los…Más', 'Sinceramente para mí son los mejores pintxos de bilbo. por su jugosa y cremosa. ¿Porque no pongo 5 estrellas? porque tienen que mejorar el tratamiento del ……Más', 'Tenía las expectativas muy altas! El txangurro gratinado me sorprendió por su originalidad pero no es mi pintxo favorito, el de tortilla con trufa blanca bueno, pero para mi la tortilla d…Más']","['Bar EL Globo te ofrece la mejor selección de pintxos en Bilbao. Una de las barras de pintxos más premiadas y reconocidas de Bizkaia.', 'Sin duda es un bar de pintxos que no hay que perderse. Está más alejado del casco viejo pero alrededor de una zona apetecible de conocer también.', 'Bar El Globo Bilbao es el lugar de encuentro muy animado y con gran variedad de pintxos tapas ensaladas sandwiches vinos cazuelas raciones.']"
La Taberna de Los Mundos C/LUTXANA nº1 BILBO 94 416 81 81,Cafetería con desayunos bocadillos y tapas de platos internacionales en un comedor con ambientación viajera.,26000,"3,9",10-20€,Tiene terraza· Se sirven platos vegetarianos· Tiene Wi-Fi,"Lutxana Kalea, 1, Abando, 48008 Bilbo, Bizkaia","{'sábado': ['12:00–1:30'], 'domingo': ['12:00–23:00'], 'lunes': ['9:00–23:30'], 'martes': ['9:00–23:30'], 'miércoles': ['9:00–23:30'], 'jueves': ['9:00–23:30'], 'viernes': ['9:00–0:30']}",944 16 81 81,"['Estaba todo muy rico ;-) Sobretodo los fritos.\nTienes la opción del menú del día o tirar de carta y elegir lo que quieras.…Más', 'Un buen sitio con carta variada y buena decoración.\nTiene una zona de comedor para grupos grandes y los camareros son muy majos.…Más', 'La Taberna de los Mundos es un lugar increíble para disfrutar de la gastronomía y el ambiente de diferentes países. El menú es variado y original, con platos…Más']","['*MENÚ ESPECIAL DE TEMPORADA : Bienvenid@s a LA TABERNA DE LOS MUNDOS! Estamos en C/Lutxana nº1 En Pleno Centro De BILBO 94 416 81 81 no disponible...', '246 opiniones#322 de 987 restaurantes en Bilbao€€ - €€€Opciones vegetarianas. Calle Lutxana 1 48008 Bilbao España +34 944 16 81 81 Página web Menú.', '*C/Lutxana nº1 BILBO 94 416 81 81 oficinataberna@delosmundos.com · #bilbao #comerenbilbao #raciones #menú #menúdeldía #bilbaocity #bocatas #bocata #bokata']"
El Puertito,Conocido bar de ostras informal con variedades de ostras crudas vino y cócteles.,15000,"4,5",10-20€,Tiene terraza· No se aceptan reservas,"García Rivero Maisuaren Kalea, 9, Abando, 48011 Bilbo, Bizkaia","{'sábado': ['12:00–23:00'], 'domingo': ['12:00–22:00'], 'lunes': ['12:00–22:00'], 'martes': ['12:00–22:00'], 'miércoles': ['12:00–22:00'], 'jueves': ['12:00–22:00'], 'viernes': ['12:00–23:00']}",944 02 62 54,"['Las otras que no tienes que perderte si vas a Bilbao.\nLas gallegas por excelencia, irlandesas doradas y las ginardo Francesas!! Por ese orden todo excelente y la atención…Más', 'Un pequeño local dedicado exclusivamente a ostras y bebidas, entre ellas cavas y champagnes. Recomendable. El producto estaba muy bueno.', 'El sumum, muy buena atención, ambiente y las ostras buenísimas.']","['Somos especialistas en catering de ostras para eventos desde 2013. Pide presupuesto sin compromiso. Bilbao. C/ García Rivero 9 944 026 254 Contacto Mail...', 'El restaurante El Puertito está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4...', 'Es un buen sitio para comer ostras en Bilbao. Las tienen de muchas clases y el vino blanco también muy rico . Es pequeñito y tiene terraza .']"
Bar Restaurante Udala Bilbao,,73,"4,3",10-20€,,"Errekakoetxe Kalea, 2, Abando, 48010 Bilbo, Bizkaia","{'sábado': ['8:00–17:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–17:00'], 'martes': ['8:00–17:00'], 'miércoles': ['8:00–17:00'], 'jueves': ['8:00–17:00'], 'viernes': ['8:00–17:00']}",944 21 01 82,"['Miguel y Loli es increíble lo bien q se come y lo bien q tratan y a un precio impresionante…Más', 'Comida casera de verdad! el sitio perfecto para un menú del día...si estás por ahí y quieres comer comida tradicional a buen precio... es el sitio! Sin florituras pero rico.…Más', 'Si quieren disfrutar de comida calidad casera, vayan, no se van a arrepentir. Y precio económico 27€ total para 2 personas (2 platos, postre, pan, bebida y cortaditos). Y el servicio…Más']","['El restaurante Bar Restaurante Udala está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio:...', 'Consigue las mejores ofertas para Bar Restaurante Udala en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', '16 ene 2024 — Bar Restaurante Udala Bilbao n.º 1220 entre los restaurantes de Bilbao: 82 opiniones y 21 fotos detalladas. Localízalo en el mapa y llama...']"
Patio Bilbao,,302,"4,1",10-20€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Kalea Manuel Allende, 21, Abando, 48010 Bilbo, Bizkaia","{'sábado': ['0:00–12:00'], 'domingo': ['0:00–17:00'], 'lunes': ['11:00–23:00'], 'martes': ['11:00–23:00'], 'miércoles': ['11:00–23:00'], 'jueves': ['11:00–23:00'], 'viernes': ['11:00–12:00']}",946 07 52 76,"['(translated by google) we went to lunch on Saturday to bilbao to get out of these routines of communal restrictions we have today, with access only to ……Más', 'Me ha encantado el establecimiento , muy buen personal , muy amables con comida deliciosa. Viva imagen de calidad precio . Volveremos ❤️…Más', 'Hemos ido un sábado a comer el menú de 14,90€, en principio puede parecer que vas a salir con hambre ya que las raciones no son muy grandes, pero en absoluto.…Más']","['El restaurante Patio Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 4; Calidad/precio: 4...', 'Buena barra de pintxos cuidada selección de vinos y cervezas en un local con encanto y en el que además disfrutarás de una carta original y sabrosa.', 'Buena barra de pintxos selección de vinos y cervezas tablas picoteo y una carta original y sabrosa además de menú del día y plato express...']"
Restaurante Lasa,Menú diario de cocina vasca y barra de pintxos en un restaurante con terraza y comedor de techo acristalado.,995,"3,9",10-20€,Tiene terraza· Sirve buenos cócteles· Tiene Wi-Fi,"Diputazio Kalea, 3, Abando, 48009 Bilbo, Bizkaia","{'sábado': ['10:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–17:00'], 'martes': ['9:00–17:00'], 'miércoles': ['9:00–17:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00']}",944 24 01 03,"['Me pareció un gran restaurante. Estaba llenó y nos atendieron a 7 personas en menos de una hora. La comida estaba muy buena y la cantidad de los platos era decente. El servicio fue muy a…Más', 'la relación precio es muy buena. Comemos carne de calidad y en cantidad. algunos postres muy buenos, le aconsejo al pistacho mose, es increíble. Te hacen un ……Más', 'A primera vista es un clásico restaurante de carta en el centro de cualquier ciudad turística, pero su menú del día a 16euros sorprende. En mi caso fué Alubias-…Más']","['El Restaurante Lasa dispone de un Menú diario de cocina vasca y barra de pintxos en un restaurante con terraza y comedor de techo acristalado.', 'El restaurante Restaurante Lasa está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio: 3.5...', 'Tu restaurante en el centro de Bilbao desde 2.000. Restaurante Lasa ofrece menú diario de cocina vasca barra de pintxos menú especial cocina para llevar… en...']"
Bar Plaza Abando,,393,"3,9",1-10€,Tiene terraza· Se admiten perros,"Plaza Biribila, 2, 2º local 309, Abando, 48001 Bilbo, Bizkaia","{'sábado': ['9:00–20:00'], 'domingo': ['9:00–15:00'], 'lunes': ['7:30–20:00'], 'martes': ['7:30–20:00'], 'miércoles': ['7:30–20:00'], 'jueves': ['7:30–20:00'], 'viernes': ['7:30–20:00']}",946 13 89 23,"['Hoy hemos comido genial: pintxos recién hecho, personal apañao y buena música. La verdad es que ha sido uno de los mejores sitios que he probado de pinchos en ……Más', 'Camareros muy agradables, pero el precio del bocadillo me parece un timo(7,90€). Que el jefe ponga estos precios provoca que se consuma en otros lugares y…Más', 'Antes estaba bien de precios, ahora se están pasando 3 pueblos con los precios, que ya sé que todo ha subido, pero los bares como siempre aprovechándose... Luego os quejáis de que …Más']","['Disfruta de la mejor selección de pintxos en Bilbao junto a una cremosa cerveza bien tirada en uno de los lugares de encuentro de referencia en la capital.', '56 opinionesN.º 24 de 69 bares y pubs en Bilbao€BarCaféEspañola. Plaza Euskadi 3 48001 Bilbao España +34 944 36 01 71 Página web Añadir horariosMejora este...', 'Tipos de cocina. Bar Española Pub ; Comidas. Comidas Cenas ; VENTAJAS. Capacidad Acceso para discapacitados Sirve alcohol Terraza exterior Bar completo.']"
CAPRICHO,Bar pequeño con una variada carta de vinos de la tierra y tapas tradicionales.,713,"4,3",10-20€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Henao Kalea, 20, Abando, 48009 Bilbo, Bizkaia","{'sábado': ['12:00–24:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00'], 'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00']}",946 12 36 95,"['La mejor tortilla de todo Bilbao sin ninguna duda.\nTe ponen un pintxo enorme, al punto perfecto de jugosidad. Con 2 trozos de pan y…Más', 'Un sitio donde comer estupendamente y a muy buen precio. Una carta de vinos muy amplia. Buen trato. Volveremos seguro. Pidas lo que pidas es un acierto seguro. ……Más', 'un lugar para comer hermosa y a muy buen precio. una carta de vino muy amplia. Buen trato. Estaremos a salvo. Usted pide lo que usted pide es un éxito seguro. como algo menos posit…Más']","['Cocina tradicional elaborada y de calidad en Bilbao · Llevamos desde 1996 trabajando para deleitar vuestros paladares. Os damos las gracias por habernos hecho...', 'Restaurante sito en la calle Henao número 20 de bilbao.', 'El restaurante Capricho de Bilbao está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 4.5; Calidad/precio: 4.5...']"
La Parada de Bilbao,,765,"3,9",10-20€,Tiene terraza· Se sirven platos veganos,"Plaza Biribila, 2, Abando, 48008 Bilbo, Bizkaia","{'sábado': ['7:00–22:00'], 'domingo': ['8:00–22:00'], 'lunes': ['6:00–22:00'], 'martes': ['6:00–22:00'], 'miércoles': ['6:00–22:00'], 'jueves': ['6:00–22:00'], 'viernes': ['6:00–22:00']}",944 45 42 62,"['El sitio como siempre muy bien, la barra surtida y la atención de la barra fantástica…Más', 'Recomendar una sola tortilla en la parada es complicado, mucha variedad y todas estan muy buenas, pero la de bonito con pimientos de esta mañana estaba de lujo, ……Más', 'Dan una muy mala imagen cara al publico y parece que no son muy profesionales en este sector de trabajo.…Más']","['La Parada de Bilbao es un restaurante especializado en cocina tradicional y vegana elaborada con los mejores ingredientes de temporada.', 'La Parada De Bilbao · Plaza circular 2 Estación de Renfe 48001 Bilbao España · Página web · Mejora este perfil.', 'Bar Restaurate ubicado junto a la estación de Abando. Cocina tradicional vasca y vegana buenos pintxos menú del día y desayunos. #VeganFood.']"
Restaurante Egaña Bar,,500,"4,2",€,Tiene terraza· Ideal para ver deportes· Tiene Wi-Fi,"Egaña Kalea, 14, Abando, 48010 Bilbo, Bizkaia",{},685 92 95 84,"['Nuestra experiencia ha sido en un pedido a domicilio por Ju...Ea... y todo lamentable, se equivocan y echan la culpa a lo que sea, el chorizo de lochas para…Más', 'Un poco caras las cervezas. Pero bonita vista de la ría de Bilbao.', 'Cobrarme 4 euros por un pintxo de txipiron o una cazuelita con 4 txampis pequeños me parece excesivo. No sé cuál es, ya que está todo está metido con pintxo. Exagerado, igual como …Más']","['Un Bar - Restaurante mítico de Indautxu referente en cocina tradicional y ambiente fa000iar celebra su 30 aniversario: en 1993 abrieron los Hermanos Hernando...', 'Bar Egaña Bilbao: Consulta 46 opiniones sobre Bar Egaña con puntuación 4 de 5 y clasificado en Tripadvisor N.°388 de 1.414 restaurantes en Bilbao.', 'Bar Egaña Bilbao: Consulta 46 opiniones sobre Bar Egaña con puntuación 4 de 5 y clasificado en Tripadvisor N.°387 de 1.170 restaurantes en Bilbao.']"
Café Iruña,Platos de la cocina regional y carnes a la parrilla en un restaurante de larga trayectoria con azulejos decorativos y murales.,12000,"4,2",1-10€,Tiene terraza· Sirve buenos cócteles· Hay actuaciones en directo,"Colón de Larreátegui K., 13, Abando, 48001 Bilbo, Bizkaia","{'sábado': ['11:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00'], 'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–24:00']}",944 23 70 21,"['Antiguo café de época muy bien conservado. Fuimos un grupo de amigos a probar los famosos pinchos morunos, que te los hacen en el instante. La verdad que están…Más', 'Como aquí por recomendación de un amigo. Se come de menú, no se por la noche como funciona. En el bar hay pinchos morunos auténticos. El día que comimos yo me ……Más', 'Visita obligada.\nEl espacio es fantàstico y el servicio perfecto, aunque siempre este lleno…Más']","['Un punto de encuentro social en en el centro de Bilbao. Con una oferta amplia y variada. Desayunos pintxos variados menú diario y fin de semana carta...', 'Bar típico de Bilbao y con un entorno y decoración auténtico. Comimos muy bien un menú de fin de semana por 35€ con variedad de platos a elegir y todo muy...', 'El Café Iruña inaugurado en 1903 está abierto todos los días del año con servicio de desayunos menú del día a 1990€. los laborables y 3550€. los...']"
